,Project Number,Purchase Type,Remote Net Metering,Affordable Solar,Community Distributed Generation
38464,4704-45534,Lease,No,No,No
38465,4704-34230,Lease,No,No,No
38466,4704-51830,Lease,No,No,No
38467,4704-96872,Lease,No,No,No
38468,4704-73071,Power Purchase Agreement,No,No,No
38469,4704-80982,Power Purchase Agreement,No,No,No
38470,4704-96572,Power Purchase Agreement,No,No,No
38471,4704-46094,Lease,No,No,No
38472,4704-67926,Lease,No,No,No
38473,4704-69994,Power Purchase Agreement,No,No,No
38474,4704-83787,Power Purchase Agreement,No,No,No
38475,4704-57909,Lease,No,No,No
38476,4704-56574,Lease,No,No,No
38477,4704-93165,Power Purchase Agreement,No,No,No
38478,4704-80340,Lease,No,No,No
38479,4704-51132,Lease,No,No,No
38480,4704-50523,Lease,No,No,No
38481,4704-57158,Power Purchase Agreement,No,No,No
38482,4704-44542,Power Purchase Agreement,No,No,No
38483,4704-64954,Lease,No,No,No
38484,4704-87623,Power Purchase Agreement,No,No,No
38485,4704-70147,Power Purchase Agreement,No,No,No
38486,4704-80210,Lease,No,No,No
38487,4704-68062,Power Purchase Agreement,No,No,No
38488,4704-51217,Lease,No,No,No
38489,4704-64068,Lease,No,No,No
38490,4704-60025,Lease,No,No,No
38491,4704-40477,Lease,No,No,No
38492,4704-55392,Lease,No,No,No
38493,4704-70043,Power Purchase Agreement,No,No,No
38494,4704-69405,Power Purchase Agreement,No,No,No
38495,4704-44369,Power Purchase Agreement,No,No,No
38496,4704-48930,Lease,No,No,No
38497,4704-83158,Power Purchase Agreement,No,No,No
38498,4704-76842,Lease,No,No,No
38499,4658-28973,Purchase,,No,No
38500,4704-56517,Lease,No,No,No
38501,4704-99115,Lease,No,No,No
38502,4704-58438,Lease,No,No,No
38503,4704-93543-IRH,Lease,No,No,No
38504,4704-81756,Lease,No,No,No
38505,4704-47416,Lease,No,No,No
38506,4704-48772,Lease,No,No,No
38507,4704-84789,Power Purchase Agreement,No,No,No
38508,4704-86235,Power Purchase Agreement,No,No,No
38509,4704-35611,Lease,No,No,No
38510,4704-86488,Power Purchase Agreement,No,No,No
38511,4704-86364,Power Purchase Agreement,No,No,No
38512,4704-83395,Power Purchase Agreement,No,No,No
38513,4704-85656,Lease,No,No,No
38514,4704-89214,Lease,No,No,No
38515,4704-63609,Lease,No,No,No
38516,4704-57376,Lease,No,No,No
38517,4704-81049,Power Purchase Agreement,No,No,No
38518,4704-71274,Lease,No,No,No
38519,4704-43950,Power Purchase Agreement,No,No,No
38520,4704-82090,Lease,No,No,No
38521,4704-84975,Lease,No,No,No
38522,4704-94100,Power Purchase Agreement,No,No,No
38523,4704-82091,Power Purchase Agreement,No,No,No
38524,4667-30749,Purchase,,No,No
38525,4704-70663,Power Purchase Agreement,No,No,No
38526,4669-39271,Lease,No,No,No
38527,4704-73247,Power Purchase Agreement,No,No,No
38528,4704-67830,Power Purchase Agreement,No,No,No
38529,4704-72498,Lease,No,No,No
38530,4702-25308,,,No,No
38531,4704-42019,Power Purchase Agreement,No,No,No
38532,4669-37171,Lease,No,No,No
38533,4704-83040,Power Purchase Agreement,No,No,No
38534,4704-91712,Lease,No,No,No
38535,4704-81300,Lease,No,No,No
38536,4704-47795,Lease,No,No,No
38537,4704-80684,Power Purchase Agreement,No,No,No
38538,4704-85477,Power Purchase Agreement,No,No,No
38539,4704-65666,Lease,No,No,No
38540,4704-83898,Lease,No,No,No
38541,4704-82363,Lease,No,No,No
38542,4704-98469,Lease,No,No,No
38543,4704-71793,Power Purchase Agreement,No,No,No
38544,4704-46957,Power Purchase Agreement,No,No,No
38545,4704-95563,Power Purchase Agreement,No,No,No
38546,4704-89718,Power Purchase Agreement,No,No,No
38547,4704-41263,Lease,No,No,No
38548,4657-98535,Purchase,No,No,No
38549,4704-81981,Lease,No,No,No
38550,4704-43846,Lease,No,No,No
38551,4669-31901,Lease,,No,No
38552,4662-39052,Purchase,No,No,No
38553,4704-57363,Lease,No,No,No
38554,4704-85392,Lease,No,No,No
38555,4704-75053,Power Purchase Agreement,No,No,No
38556,4704-47636,Lease,No,No,No
38557,4704-54657,Lease,No,No,No
38558,4704-47552,Lease,No,No,No
38559,4704-82407,Power Purchase Agreement,No,No,No
38560,4704-62756,Lease,No,No,No
38561,4704-92000,Lease,No,No,No
38562,4676-27957,Purchase,,No,No
38563,4704-90909,Lease,,No,No
38564,4704-42890,Power Purchase Agreement,No,No,No
38565,4704-81486,Power Purchase Agreement,No,No,No
38566,4704-81420,Lease,,No,No
38567,4704-70005,Power Purchase Agreement,No,No,No
38568,4704-65471,Lease,No,No,No
38569,4704-69175,Power Purchase Agreement,No,No,No
38570,4704-49413,Power Purchase Agreement,No,No,No
38571,4704-48332,Lease,No,No,No
38572,4704-64211,Lease,No,No,No
38573,4704-71247,Purchase,No,No,No
38574,4704-63641,Lease,No,No,No
38575,4704-35320,Lease,No,No,No
38576,4704-65816,Power Purchase Agreement,,No,No
38577,4704-61569,Lease,No,No,No
38578,4704-58437,Lease,,No,No
38579,4704-72453,Power Purchase Agreement,No,No,No
38580,4704-58049,Power Purchase Agreement,No,No,No
38581,4704-92176,Power Purchase Agreement,No,No,No
38582,4704-86387,Power Purchase Agreement,No,No,No
38583,4704-44524,Lease,No,No,No
38584,4704-55727,Power Purchase Agreement,No,No,No
38585,4704-38068,Lease,No,No,No
38586,4704-83668,Lease,No,No,No
38587,4704-96467,Lease,No,No,No
38588,4704-42939,Power Purchase Agreement,No,No,No
38589,4704-43335,Lease,No,No,No
38590,4704-87708,Power Purchase Agreement,No,No,No
38591,4704-69748,Power Purchase Agreement,No,No,No
38592,4704-56812,Lease,No,No,No
38593,4704-71838,Power Purchase Agreement,No,No,No
38594,4704-78171,Power Purchase Agreement,No,No,No
38595,4704-50939,Lease,No,No,No
38596,4704-89342,Power Purchase Agreement,No,No,No
38597,4704-99755,Purchase,No,No,No
38598,4704-99282,Lease,No,No,No
38599,4704-81458,Purchase,,No,No
38600,4704-65190,Lease,No,No,No
38601,4704-50677,Power Purchase Agreement,No,No,No
38602,4704-73347,Power Purchase Agreement,No,No,No
38603,4704-86257,Power Purchase Agreement,No,No,No
38604,4704-45405,Lease,No,No,No
38605,4702-42672,Purchase,No,No,No
38606,4704-43031,Lease,No,No,No
38607,4704-67761,Lease,No,No,No
38608,4704-66319,Lease,No,No,No
38609,4676-80292,Purchase,No,No,No
38610,4704-72312,Power Purchase Agreement,No,No,No
38611,4704-82682,Power Purchase Agreement,No,No,No
38612,4697-69436,Purchase,Yes,No,No
38613,4704-62984,Lease,No,No,No
38614,4704-96856,Power Purchase Agreement,No,No,No
38615,4704-94771,Lease,No,No,No
38616,4704-72412,Power Purchase Agreement,No,No,No
38617,4704-52486,Power Purchase Agreement,No,No,No
38618,4704-58693,Power Purchase Agreement,No,No,No
38619,4704-83504,Power Purchase Agreement,No,No,No
38620,4704-49479,Lease,No,No,No
38621,4669-35693,Lease,No,No,No
38622,4704-62413,Purchase,No,No,No
38623,4704-77994,Power Purchase Agreement,No,No,No
38624,4704-97498,Power Purchase Agreement,No,No,No
38625,4704-84132,Lease,No,No,No
38626,4704-79182,Power Purchase Agreement,No,No,No
38627,4704-80235,Power Purchase Agreement,No,No,No
38628,4704-51084,Lease,No,No,No
38629,4704-44981,Lease,No,No,No
38630,4669-41794,Lease,No,No,No
38631,4704-90437,Purchase,No,No,No
38632,4704-86354,Lease,No,No,No
38633,4704-84033,Lease,No,No,No
38634,4704-71105,Power Purchase Agreement,No,No,No
38635,4704-69697,Power Purchase Agreement,No,No,No
38636,4704-45528,Power Purchase Agreement,No,No,No
38637,4669-32737,Lease,,No,No
38638,4704-80228,Power Purchase Agreement,No,No,No
38639,4704-41892,Lease,No,No,No
38640,4704-39416,Lease,No,No,No
38641,4704-45066,Power Purchase Agreement,No,No,No
38642,4704-56379,Power Purchase Agreement,No,No,No
38643,4704-73248,Power Purchase Agreement,No,No,No
38644,4704-65050,Lease,No,No,No
38645,4704-61797,Lease,No,No,No
38646,4704-57234,Lease,No,No,No
38647,4704-40946,Power Purchase Agreement,No,No,No
38648,4704-79931,Power Purchase Agreement,No,No,No
38649,4704-59603,Power Purchase Agreement,No,No,No
38650,4704-57439,Lease,No,No,No
38651,4704-92451,Power Purchase Agreement,No,No,No
38652,4704-46618,Power Purchase Agreement,No,No,No
38653,4704-45458,Power Purchase Agreement,No,No,No
38654,4704-52634,Power Purchase Agreement,No,No,No
38655,4704-71013,Power Purchase Agreement,No,No,No
38656,4704-54735,Lease,No,No,No
38657,4690-27358,Lease,,No,No
38658,4704-69945,Lease,No,No,No
38659,4704-84122,Power Purchase Agreement,No,No,No
38660,4704-94204,Lease,No,No,No
38661,4704-70035,Power Purchase Agreement,No,No,No
38662,4704-42776,Lease,No,No,No
38663,4704-36188,Lease,No,No,No
38664,4704-94281,Lease,No,No,No
38665,4697-58932,Purchase,No,No,No
38666,4704-45060,Lease,No,No,No
38667,4704-51339,Power Purchase Agreement,No,No,No
38668,4704-94599,Lease,No,No,No
38669,4662-53697,Purchase,No,No,No
38670,4704-34856,Lease,No,No,No
38671,4704-56754,Lease,No,No,No
38672,4704-53847,Lease,No,No,No
38673,4704-75038,Lease,No,No,No
38674,4704-78625,Lease,No,No,No
38675,4704-51759,Lease,No,No,No
38676,4704-64875,Lease,No,No,No
38677,4704-70073,Lease,No,No,No
38678,4704-60918,Lease,No,No,No
38679,4704-85559,Power Purchase Agreement,No,No,No
38680,4704-88285,Power Purchase Agreement,No,No,No
38681,4704-47145,Lease,No,No,No
38682,4704-68950,Lease,No,No,No
38683,4704-48462,Lease,No,No,No
38684,4704-85903,Power Purchase Agreement,No,No,No
38685,4704-40279,Lease,No,No,No
38686,4704-46156,Lease,No,No,No
38687,4704-84116,Lease,No,No,No
38688,4658-35158-1,Power Purchase Agreement,No,No,No
38689,4704-54179,Power Purchase Agreement,No,No,No
38690,4704-78335,Lease,No,No,No
38691,4704-78102,Lease,No,No,No
38692,4704-44898,Power Purchase Agreement,No,No,No
38693,4704-35704,Lease,No,No,No
38694,4704-69763,Lease,No,No,No
38695,4704-84805,Lease,No,No,No
38696,4704-89749,Purchase,No,No,No
38697,4704-87242,Power Purchase Agreement,No,No,No
38698,4704-86623,Power Purchase Agreement,No,No,No
38699,4704-50340,Lease,No,No,No
38700,4704-53445,Lease,No,No,No
