,Project Number,Purchase Type,Remote Net Metering,Affordable Solar,Community Distributed Generation
38094,4704-91244,Lease,No,No,No
38095,4704-56103,Lease,No,No,No
38096,4660-60830,Purchase,No,No,No
38097,4704-68431,Lease,No,No,No
38098,4704-81384,Power Purchase Agreement,No,No,No
38099,4704-96322,Power Purchase Agreement,No,No,No
38100,4704-68195,Lease,No,No,No
38101,4704-37457,Purchase,No,No,No
38102,4704-84037,Lease,No,No,No
38103,4704-87101,Lease,No,No,No
38104,4704-96069,Power Purchase Agreement,No,No,No
38105,4704-48356,Lease,No,No,No
38106,4704-73319,Lease,No,No,No
38107,4704-38733,Lease,No,No,No
38108,4704-81210,Lease,No,No,No
38109,4704-92140,Power Purchase Agreement,No,No,No
38110,4704-45296,Lease,No,No,No
38111,4704-56226,Lease,No,No,No
38112,4704-72481,Lease,No,No,No
38113,4704-57259,Lease,No,No,No
38114,4704-62397,Lease,No,No,No
38115,4704-45619,Power Purchase Agreement,No,No,No
38116,4704-72394,Lease,No,No,No
38117,4704-81328,Power Purchase Agreement,No,No,No
38118,4669-43209,Lease,No,No,No
38119,4704-43870,Lease,No,No,No
38120,4704-47577,Lease,No,No,No
38121,4704-44743,Lease,No,No,No
38122,4704-40709,Lease,No,No,No
38123,4704-43977,Power Purchase Agreement,No,No,No
38124,4704-45453,Lease,No,No,No
38125,4704-71789,Lease,No,No,No
38126,4704-98857,Lease,No,No,No
38127,4704-33950,Lease,No,No,No
38128,4704-81227-IRH,Lease,No,No,No
38129,4704-47006,Lease,No,No,No
38130,4704-54183,Lease,No,No,No
38131,4704-83310,Lease,No,No,No
38132,4704-58677,Power Purchase Agreement,No,No,No
38133,4704-40901,Lease,No,No,No
38134,4704-76898,Purchase,No,No,No
38135,4704-66436,Lease,No,No,No
38136,4704-94446,Lease,No,No,No
38137,4704-66690,Lease,No,No,No
38138,4704-46479,Lease,No,No,No
38139,4697-42726,Purchase,Yes,No,No
38140,4704-83661,Power Purchase Agreement,No,No,No
38141,4704-63503,Lease,No,No,No
38142,4704-86452,Lease,No,No,No
38143,4704-78483,Power Purchase Agreement,No,No,No
38144,4704-61979,Lease,No,No,No
38145,4704-42608,Power Purchase Agreement,No,No,No
38146,4654-29788,Purchase,,No,No
38147,4704-79351,Lease,No,No,No
38148,4704-70641,Power Purchase Agreement,No,No,No
38149,4704-64433,Lease,No,No,No
38150,4704-88746,Lease,No,No,No
38151,4704-81200,Power Purchase Agreement,No,No,No
38152,4704-54560,Purchase,No,No,No
38153,4704-53609,Lease,No,No,No
38154,4704-58384,Purchase,No,No,No
38155,4704-49649,Lease,No,No,No
38156,4704-71770,Power Purchase Agreement,No,No,No
38157,4704-56310,Lease,No,No,No
38158,4704-39627,Lease,No,No,No
38159,4704-77996,Power Purchase Agreement,No,No,No
38160,4704-50487,Lease,No,No,No
38161,4704-40899,Lease,No,No,No
38162,4704-71244,Power Purchase Agreement,No,No,No
38163,4704-81988,Power Purchase Agreement,No,No,No
38164,4704-83245,Power Purchase Agreement,No,No,No
38165,4704-87168,Power Purchase Agreement,No,No,No
38166,4687-26916,,,No,No
38167,4704-55809,Lease,No,No,No
38168,4704-85589,Power Purchase Agreement,No,No,No
38169,4704-85935,Power Purchase Agreement,No,No,No
38170,4657-68867-GJ,Purchase,No,No,No
38171,4704-83436,Power Purchase Agreement,No,No,No
38172,4704-54952,Lease,,No,No
38173,4704-54758,Lease,No,No,No
38174,4704-41381,Power Purchase Agreement,No,No,No
38175,4704-81490,Lease,No,No,No
38176,4662-27782,Purchase,,No,No
38177,4704-34320,Lease,No,No,No
38178,4702-44588,Purchase,No,No,No
38179,4704-35095,Lease,No,No,No
38180,4667-33690,Purchase,No,No,No
38181,4704-79987,Lease,No,No,No
38182,4704-46221,Power Purchase Agreement,No,No,No
38183,4704-84599,Power Purchase Agreement,No,No,No
38184,4704-56706,Lease,No,No,No
38185,4704-88879,Power Purchase Agreement,No,No,No
38186,4704-60358,Power Purchase Agreement,No,No,No
38187,4704-65887,Power Purchase Agreement,No,No,No
38188,4704-72463,Lease,No,No,No
38189,4704-56975,Lease,No,No,No
38190,4704-41969,Lease,No,No,No
38191,4704-88877,Power Purchase Agreement,No,No,No
38192,4704-81974,Power Purchase Agreement,No,No,No
38193,4704-90964,Lease,No,No,No
38194,4704-63758,Lease,No,No,No
38195,4704-80431,Lease,No,No,No
38196,4704-78998,Power Purchase Agreement,No,No,No
38197,4704-79683,Power Purchase Agreement,No,No,No
38198,4704-42812,Power Purchase Agreement,No,No,No
38199,4704-48581,Lease,No,No,No
38200,4704-86415,Lease,No,No,No
38201,4704-81445,Lease,No,No,No
38202,4704-97109,Power Purchase Agreement,No,No,No
38203,4704-84474,Power Purchase Agreement,No,No,No
38204,4704-54039,Power Purchase Agreement,No,No,No
38205,4704-49073,Lease,No,No,No
38206,4704-84638,Lease,No,No,No
38207,4704-47620,Power Purchase Agreement,No,No,No
38208,4704-77369,Lease,No,No,No
38209,4704-84016,Power Purchase Agreement,No,No,No
38210,4704-61381,Lease,No,No,No
38211,4704-48289,Lease,No,No,No
38212,4704-47017,Lease,No,No,No
38213,4702-66426-GJ,Purchase,No,No,No
38214,4704-47083,Lease,No,No,No
38215,4704-86512,Lease,No,No,No
38216,4704-70705,Lease,No,No,No
38217,4704-52700,Lease,No,No,No
38218,4704-81994,Power Purchase Agreement,No,No,No
38219,4704-71853,Power Purchase Agreement,No,No,No
38220,4704-55154,Lease,No,No,No
38221,4704-99210,Lease,No,No,No
38222,4704-42328,Lease,No,No,No
38223,4704-44305,Lease,No,No,No
38224,4704-90156,Lease,No,No,No
38225,4704-54867,Lease,No,No,No
38226,4704-55419,Lease,No,No,No
38227,4704-94921,Lease,,No,No
38228,4704-48275,Lease,No,No,No
38229,4704-79274,Power Purchase Agreement,No,No,No
38230,4704-70691,Lease,No,No,No
38231,4704-96228,Lease,No,No,No
38232,4704-69918,Power Purchase Agreement,No,No,No
38233,4704-69967,Lease,No,No,No
38234,4704-93011,Power Purchase Agreement,No,No,No
38235,4704-76860,Lease,No,No,No
38236,4663-86103,Purchase,,No,No
38237,4704-84911,Power Purchase Agreement,No,No,No
38238,4704-63964,Lease,No,No,No
38239,4704-90241,Lease,No,No,No
38240,4704-84898,Lease,No,No,No
38241,4704-53000,Lease,No,No,No
38242,4704-62097,Lease,No,No,No
38243,4704-68164,Power Purchase Agreement,No,No,No
38244,4704-78957,Power Purchase Agreement,No,No,No
38245,4704-48780,Power Purchase Agreement,No,No,No
38246,4704-73306,Lease,No,No,No
38247,4704-72438,Power Purchase Agreement,No,No,No
38248,4669-28501,Lease,,No,No
38249,4704-81883,Lease,No,No,No
38250,4669-41198,Lease,No,No,No
38251,4704-84661,Power Purchase Agreement,No,No,No
38252,4704-97392,Lease,No,No,No
38253,4704-81253,Lease,No,No,No
38254,4704-38958,Lease,No,No,No
38255,4704-77156,Lease,No,No,No
38256,4704-57838,Lease,No,No,No
38257,4704-49750,Power Purchase Agreement,No,No,No
38258,4704-82343,Lease,No,No,No
38259,4704-92269,Lease,No,No,No
38260,4704-59294,Power Purchase Agreement,No,No,No
38261,4704-91599,Lease,No,No,No
38262,4669-42587,Lease,No,No,No
38263,4704-98567,Lease,No,No,No
38264,4704-66974,Lease,No,No,No
38265,4704-67553,Lease,No,No,No
38266,4704-47854,Lease,No,No,No
38267,4704-93868,Lease,No,No,No
38268,4704-43154,Power Purchase Agreement,No,No,No
38269,4704-69988,Lease,No,No,No
38270,4704-68348,Power Purchase Agreement,No,No,No
38271,4704-47401,Purchase,No,No,No
38272,4704-81401,Lease,No,No,No
38273,4704-66360,Lease,No,No,No
38274,4704-37417,Lease,No,No,No
38275,4704-49251,Lease,No,No,No
38276,4704-52613,Lease,No,No,No
38277,4704-72197,Lease,No,No,No
38278,4704-91241,Lease,No,No,No
38279,4704-59514,Lease,No,No,No
38280,4704-87555,Lease,No,No,No
38281,4704-79853,Power Purchase Agreement,No,No,No
38282,4704-82080,Power Purchase Agreement,No,No,No
38283,4704-57547,Lease,No,No,No
38284,4669-44443,Lease,No,No,No
38285,4704-50912,Lease,No,No,No
38286,4704-77646,Power Purchase Agreement,Yes,No,No
38287,4704-88283,Lease,No,No,No
38288,4704-79296,Lease,No,No,No
38289,4704-63228,Purchase,No,No,No
38290,4704-47605,Lease,No,No,No
38291,4704-50441,Lease,No,No,No
38292,4704-91415,Lease,No,No,No
38293,4704-98120,Lease,No,No,No
38294,4660-35315,Purchase,No,No,No
38295,4704-66054,Lease,No,No,No
38296,4704-91538,Power Purchase Agreement,No,No,No
38297,4704-68438,Lease,No,No,No
38298,4704-84101,Lease,No,No,No
38299,4669-32830,Lease,,No,No
38300,4704-82323,Power Purchase Agreement,No,No,No
38301,4704-80084,Power Purchase Agreement,No,No,No
38302,4704-94940,Lease,No,No,No
38303,4704-73191,Power Purchase Agreement,No,No,No
38304,4704-48519,Lease,No,No,No
38305,4657-28332,Purchase,,No,No
38306,4704-86237,Power Purchase Agreement,No,No,No
38307,4704-45263,Lease,No,No,No
38308,4704-73097,Power Purchase Agreement,No,No,No
38309,4704-56256,Power Purchase Agreement,No,No,No
38310,4704-99685,Lease,No,No,No
38311,4704-54570,Power Purchase Agreement,No,No,No
38312,4704-64818,Power Purchase Agreement,No,No,No
38313,4697-48549,Purchase,No,No,No
38314,4704-72184,Lease,No,No,No
38315,4704-46487,Lease,No,No,No
38316,4704-55128,Lease,No,No,No
38317,4704-92198,Lease,No,No,No
38318,4704-75057,Lease,No,No,No
38319,4704-85947,Power Purchase Agreement,No,No,No
38320,4704-89455,Lease,No,No,No
38321,4704-87320,Lease,No,No,No
38322,4704-56875,Lease,No,No,No
38323,4704-77634,Power Purchase Agreement,Yes,No,No
38324,4704-50520,Lease,No,No,No
38325,4704-54321,Purchase,No,No,No
38326,4704-85953,Lease,No,No,No
38327,4704-70016,Power Purchase Agreement,No,No,No
38328,4704-96108,Lease,No,No,No
38329,4704-81503,Power Purchase Agreement,No,No,No
38330,4704-70052,Lease,No,No,No
38331,4704-84942,Lease,No,No,No
38332,4704-99255,Lease,No,No,No
38333,4704-87186,Lease,No,No,No
38334,4704-81914,Power Purchase Agreement,No,No,No
38335,4704-80335,Lease,No,No,No
38336,4704-64521,Lease,,No,No
38337,4704-55721,Power Purchase Agreement,No,No,No
38338,4704-70841,Lease,No,No,No
38339,4704-57758,Lease,No,No,No
38340,4704-67305,Power Purchase Agreement,No,No,No
38341,4704-78955,Power Purchase Agreement,No,No,No
38342,4704-51591,Power Purchase Agreement,No,No,No
38343,4697-37815,Purchase,No,No,No
38344,4704-83111,Power Purchase Agreement,No,No,No
38345,4704-66703,Lease,No,No,No
38346,4704-55589,Power Purchase Agreement,No,No,No
38347,4704-50065,Lease,No,No,No
38348,4704-98369,Power Purchase Agreement,No,No,No
38349,4704-80170,Power Purchase Agreement,No,No,No
38350,4704-67902,Power Purchase Agreement,No,No,No
38351,4704-83475,Power Purchase Agreement,No,No,No
38352,4704-68812,Lease,No,No,No
38353,4704-88400,Power Purchase Agreement,No,No,No
38354,4704-91441,Lease,No,No,No
38355,4704-88959,Power Purchase Agreement,No,No,No
38356,4704-37040,Lease,No,No,No
38357,4704-54793,Power Purchase Agreement,No,No,No
38358,4704-78396,Lease,No,No,No
38359,4702-55575,Purchase,No,No,No
38360,4704-71777,Lease,No,No,No
38361,4704-82383,Power Purchase Agreement,No,No,No
38362,4704-70859,Lease,No,No,No
38363,4704-69536,Purchase,No,No,No
38364,4704-41680,Power Purchase Agreement,No,No,No
38365,4704-86007,Power Purchase Agreement,No,No,No
38366,4704-47626,Lease,No,No,No
38367,4704-64508,Lease,No,No,No
38368,4704-79456,Power Purchase Agreement,No,No,No
38369,4704-79885,Power Purchase Agreement,No,No,No
38370,4704-47679,Lease,No,No,No
38371,4704-64179,Lease,No,No,No
38372,4704-84433,Lease,No,No,No
38373,4704-67205,Power Purchase Agreement,No,No,No
38374,4704-84694,Lease,No,No,No
38375,4704-49410,Lease,No,No,No
38376,4704-43728,Power Purchase Agreement,No,No,No
38377,4704-78580 YY,Purchase,No,No,No
38378,4704-92466,Power Purchase Agreement,No,No,No
38379,4704-70864,Power Purchase Agreement,No,No,No
38380,4704-45932,Power Purchase Agreement,No,No,No
38381,4704-86616,Power Purchase Agreement,No,No,No
38382,4704-79937,Lease,No,No,No
38383,4704-56728,Lease,No,No,No
38384,4704-98777,Lease,No,No,No
38385,4704-50054,Lease,No,No,No
38386,4704-69074,Lease,No,No,No
38387,4704-86005,Power Purchase Agreement,No,No,No
38388,4704-82713,Power Purchase Agreement,No,No,No
38389,4704-69933,Power Purchase Agreement,No,No,No
38390,4697-31141,Purchase,,No,No
38391,4704-47211,Power Purchase Agreement,No,No,No
38392,4704-71396,Power Purchase Agreement,No,No,No
38393,4704-39557,Lease,No,No,No
38394,4704-72318,Lease,No,No,No
38395,4704-98080,Lease,No,No,No
38396,4704-84554,Lease,No,No,No
38397,4704-44243,Lease,No,No,No
38398,4704-67207,Power Purchase Agreement,No,No,No
38399,4704-97883,Power Purchase Agreement,No,No,No
38400,4704-70348,Power Purchase Agreement,No,No,No
38401,4704-70281,Lease,No,No,No
38402,4704-50522,Lease,No,No,No
38403,4704-48151,Lease,No,No,No
38404,4704-98762,Lease,No,No,No
38405,4662-102224,Purchase,No,No,No
38406,4704-81761,Power Purchase Agreement,No,No,No
38407,4669-30152,Lease,,No,No
38408,4704-91210,Power Purchase Agreement,No,No,No
38409,4662-65626,Purchase,No,No,No
38410,4704-50815,Lease,No,No,No
38411,4704-50655,Power Purchase Agreement,No,No,No
38412,4704-80791,Power Purchase Agreement,No,No,No
38413,4704-65062,Lease,No,No,No
38414,4704-97396,Lease,No,No,No
38415,4704-52713,Lease,No,No,No
38416,4704-56340,Lease,No,No,No
38417,4704-85375,Power Purchase Agreement,No,No,No
38418,4704-80251,Lease,No,No,No
38419,4704-73049,Power Purchase Agreement,No,No,No
38420,4704-55201,Lease,No,No,No
38421,4704-55168,Power Purchase Agreement,No,No,No
38422,4704-80486,Power Purchase Agreement,No,No,No
38423,4704-43026,Power Purchase Agreement,No,No,No
38424,4704-51212,Lease,No,No,No
38425,4704-69732,Power Purchase Agreement,No,No,No
38426,4704-49149,Power Purchase Agreement,No,No,No
38427,4704-56805,Lease,No,No,No
38428,4704-91204,Lease,No,No,No
38429,4704-51331,Lease,No,No,No
38430,4704-99383,Power Purchase Agreement,No,No,No
38431,4704-64671,Lease,No,No,No
38432,4704-86164,Lease,No,No,No
38433,4704-81261,Power Purchase Agreement,No,No,No
38434,4704-84503,Power Purchase Agreement,No,No,No
38435,4704-62280,Power Purchase Agreement,No,No,No
38436,4704-70623,Lease,No,No,No
38437,4704-65254,Lease,No,No,No
38438,4704-81427,Lease,No,No,No
38439,4704-50713,Lease,No,No,No
38440,4704-86126,Lease,No,No,No
38441,4704-82124,Lease,No,No,No
38442,4704-83555,Power Purchase Agreement,No,No,No
38443,4704-86036,Lease,No,No,No
38444,4704-46004,Power Purchase Agreement,No,No,No
38445,4669-54869,Lease,No,No,No
38446,4704-46670,Lease,No,No,No
38447,4704-43389,Lease,No,No,No
38448,4704-55743,Lease,No,No,No
38449,4704-54542,Lease,No,No,No
38450,4704-80212,Power Purchase Agreement,No,No,No
38451,4704-50718,Power Purchase Agreement,No,No,No
38452,4704-38013,Lease,No,No,No
38453,4704-80500,Power Purchase Agreement,No,No,No
38454,4704-41847,Lease,No,No,No
38455,4704-73376,Power Purchase Agreement,No,No,No
38456,4669-29468,Lease,,No,No
38457,4704-93486,Power Purchase Agreement,No,No,No
38458,4704-70232,Lease,No,No,No
38459,4704-79980,Power Purchase Agreement,No,No,No
38460,4704-69728,Lease,No,No,No
38461,4704-79596,Power Purchase Agreement,No,No,No
38462,4704-87577,Lease,No,No,No
38463,4704-56978,Lease,No,No,No
