$Incentive,Total Nameplate kW DC,Expected KWh Annual Production
10867.5,6.21,7290
2670.88,7.4,8681
14151.44,9.81,11515
9320.89,7.85,9212
15288,8.74,10255
17500,12.88,15119
2550.45,6.13,7190
11475,3.06,3592
4765.15,10.07,11821
5904.64,5.04,5916
10797.71,9.75,11445
8575,4.9,5752
3096.44,7.4,8681
1679.85,3.32,3891
20290.5,4.51,5294
4863.64,11.22,13170
21560,5.52,6480
14560,8.32,9766
2785.15,6.89,8082
26302.5,7.01,8229
1815.19,4.16,4883
17500,10,11738
3173.01,8.42,9878
37500,10.2,11973
23816,5.38,6311
17500,11.04,12959
17080,9.76,11457
14080,5.04,5916
16380,9.36,10987
10575,4.23,4965
2224.3,3.43,4026
5704.54,7.5,8804
16800,4.2,4930
21037.5,5.61,6585
3621.25,10.2,11973
3397.85,8.1,9508
21000,6,7043
4193.95,9.07,10641
4325.57,3.75,4402
5046.88,11.34,13311
22500,6,7043
8277.5,4.73,5552
5910.69,10.46,12283
15040,5.52,6480
6475,3.7,4343
12240,2.45,2876
34440,9.84,11551
3739.43,7.52,8828
2119.62,4.9,5752
4394,3.38,3968
25740,6.86,8053
11978.75,6.85,8035
22365,6.45,7571
16560,8.28,9719
13000,11.77,13818
2949.24,6.12,7184
19500,5.2,6104
17290,4.94,5799
2733.13,7.91,9279
24000,6.4,7513
13160,3.76,4414
936.11,2.5,2935
20290.5,4.51,5294
4610.09,10.2,11973
3302.02,9,10565
15750,9,10565
19500,5.2,6104
4840.53,10.05,11791
3383.15,6.6,7747
24832.5,7.1,8334
8820,5.04,5916
25760,7.36,8639
16023,9.16,10748
12320,7.04,8264
6783.89,5.39,6327
2450.07,5.36,6286
3211.3,6.6,7747
3083.61,5.87,6885
24035,34.34,40304
122000,40.48,47517
17500,10.14,11899
32906.3,8.78,10306
12880,3.68,4320
2465.95,6.12,7184
3281.81,7.56,8874
4252.08,7.8,9156
16560,8.28,9719
39600,7.92,9297
4436.48,5.32,6245
262500,101.38,118999
4287.5,2.45,2876
11830,6.76,7935
40160,13.44,15776
11781,7.14,8381
3066.81,6.89,8082
4725.62,3.92,4601
10167.46,7.85,9212
10000,4,4695
132172.63,120.34,141255
861.61,2.3,2694
23040,5.12,6010
7098,10.14,11903
24150,6.9,8099
2975.88,5.75,6750
6207.35,6.25,7337
7360,1.84,2160
17167.5,9.81,11515
17500,10.12,11879
12880,7.36,8639
2600.26,6.63,7783
2451.49,5.72,6714
31500,10.08,11832
5000,5,5869
8080.39,8.4,9860
16650,3.7,4343
18144,5.18,6080
15750,4.5,5282
8093.75,4.63,5429
21735,6.21,7290
2950.84,7.8,9156
8640,2.88,3381
16774.5,6.12,7184
3885.94,8,9391
16500,10.2,11973
4839.53,4.41,5177
5583.79,10.8,12677
17500,5,5869
9133.3,13.52,15870
2552.08,5.39,6327
3995.84,8.22,9643
2679.78,6.63,7783
5411.22,10.71,12572
28080,7.49,8792
28800,5.76,6761
32400,8.64,10142
3844.75,8.67,10177
8820,5.04,5916
6797.23,4.9,5752
3958.05,9.95,11674
8750,5.55,6515
4670.53,6,7043
37260,9.94,11668
2544.73,2.59,3034
17167.5,9.81,11515
10500,7.2,8452
25872,7.39,8675
4795.28,7.11,8346
34944,8.74,10259
6580,3.76,4414
40000,10.07,11821
25000,10.12,11879
30000,8,9391
4494.27,10,11738
17500,10.2,11973
2956.22,5.61,6585
10748.9,8.12,9532
10295.86,8.28,9719
5539.84,11.77,13818
3759.3,8.42,9878
4804.85,9.5,11151
28980,8.28,9719
92880,23.22,27257
3479.29,7.91,9279
3750.21,5.25,6163
26460,15.12,17748
1792,4.48,5259
35510,10.34,12138
3930.52,7.5,8804
1577.83,3.75,4402
8660.7,6.87,8061
12325.41,9.81,11515
33547.5,8.95,10506
2354.73,4.9,5752
2880.44,6.25,7337
7240.04,6.24,7325
1350.14,3.06,3592
8050,4.6,5400
7570.62,6.38,7483
2531.91,7,8217
9432.5,5.39,6327
