$Incentive,Total Nameplate kW DC,Expected KWh Annual Production
4400,5.6,6574
2730,5.46,6409
1533,11.44,13429
7750,7.75,9097
2002,2.86,3357
7000,8.75,10271
8011,20.54,24111
7420,7.42,8710
8160,10.2,11973
5880,3.92,4601
1185,7.5,8804
1117,7.65,8980
2754,6.89,8082
1560,3.12,3662
1385,4.68,5494
10000,10.2,11973
837,5.98,7020
1200,5.5,6456
3182,10.75,12619
4488,5.61,6585
1618,3.83,4490
3276,5.46,6409
3250,6.5,7630
1377,4.59,5388
2128,5.32,6245
1055,6.76,7935
1775,6.12,7184
184199.87,1221.12,1433400
1922,12.48,14650
879,5.57,6532
4755,7.14,8381
8800,11,12912
513,4.5,5282
1296,4.5,5282
5273,9.25,10858
936,4.68,5494
7200,12,14086
1042,3.57,4191
1430,2.86,3357
3335,5.75,6750
5100,12.75,14966
1425,4.75,5576
9450,5.4,6339
1686,12.22,14344
736,5.75,6750
7268,11.5,13499
2093,5.98,7020
442,4.42,5188
6936,8.67,10177
560,2.5,2935
4080,5.1,5987
2392,5.98,7020
6188,8.84,10377
87500,54.88,64420
2218,4.68,5494
1857,4.24,4977
1438,6.75,7923
2964,7.8,9156
1947,13.52,15870
11500,23,26998
649289.41,1900.8,2231235
4505,14.3,16786
5313,15.86,18617
1397,8.84,10377
3488,5.1,5987
1560,3.12,3662
9633,6.42,7538
3415,9.62,11292
669,8.16,9579
3975,12.74,14955
879,1.82,2136
9800,13.92,16340
1839,13.52,15870
3120,5.2,6104
2534,6.89,8082
1364,10.66,12513
1550,10.2,11973
1872,2.34,2747
1704,10.92,12818
1586,5.57,6532
6300,4.59,5388
7426,13.26,15565
2935,6.89,8088
4810,9.62,11292
2442,8.48,9954
1682,12.74,14955
4004,11.44,13429
1428,3.71,4355
2692,6.63,7783
3342,6.63,7783
2700,6.75,7923
1145,8.06,9461
8250,8.25,9684
3276,5.46,6409
1530,5.1,5987
884,4.42,5188
3016,13,15260
5056,14.05,16487
3825,7.65,8980
759,5.2,6104
1000,5,5869
2387,9.36,10987
3264,4.08,4789
3825,7.65,8980
3504,9.1,10682
604,4.08,4789
4080,10.2,11973
5096,7.28,8546
2789,10.14,11903
1325,2.65,3111
2282,4.94,5799
1275,6.38,7483
1560,12.19,14309
2075,5.46,6409
880,9.36,10987
801,2.08,2442
3190,7.25,8510
1092,5.46,6409
5460,7.8,9156
1144,5.72,6714
2280,4.56,5353
6900,6.9,8099
7344,9.18,10776
702,2.34,2747
2302,5.98,7020
4516,12.72,14931
2203,3.83,4490
6188,8.84,10377
8322,12.5,14667
4845,4.85,5687
816,4.08,4789
9800,8.1,9508
2652,4.42,5188
919,9.01,10576
6250,6.25,7337
1377,6.89,8082
13200,16.5,19368
2401,10.97,12871
1859,5.72,6714
757,7.42,8710
2808,7.02,8240
5250,5.25,6163
2210,4.42,5188
300,2.08,2442
2875,5.75,6750
10496,24.99,29334
6600,6.6,7747
5700,5.7,6691
1505,6.38,7483
4784,11.96,14039
8925,8.93,10477
13500,13.5,15847
75022,192.92,226457
2393,7.28,8546
780,3.9,4578
343,3.5,4108
1836,6.12,7184
765,3.83,4490
8772,10.97,12871
4810,9.62,11292
4780,16.83,19756
3978,6.63,7783
10500,7.92,9297
3231,9.1,10682
4001,5.64,6615
2205,8.32,9766
910,1.82,2136
8951,9.95,11674
628,4.42,5188
2400,6,7043
1500,3.75,4402
1201,2.6,3052
33480,33.48,39300
7110,9,10565
1275,4.25,4989
3068,15.34,18007
4820,5.36,6286
2703,6.93,8135
1794,5.2,6104
561,2.81,3293
3243,7.02,8240
2820,11.75,13793
6320,8,9391
765,8.32,9766
1148,3.83,4490
1838,5.25,6163
1956,5.72,6714
2900,7.25,8510
988,4.94,5799
1300,3.25,3815
17185,24.48,28736
1866,13.52,15870
1693,5.46,6409
936,4.68,5494
1378,10.6,12443
10500,8,9391
1922,6.24,7325
2625,3.75,4402
2346,11.73,13769
870,7.02,8240
2617,6.63,7777
811,5.1,5987
7500,7.5,8804
2484,6.63,7777
6864,11.44,13429
2470,4.94,5799
1300,6.5,7630
3884,7.14,8381
1602,4.16,4883
1873,16.43,19286
3440,10.92,12818
2607,8.25,9684
4040,9.62,11292
13250,13.25,15553
10187,13.23,15530
3643,9.69,11375
1456,7.28,8546
1265,4.16,4883
6656,7.4,8681
8160,8.16,9579
4793,6.75,7923
3657,6.1,7155
4284,5.36,6286
950,7.54,8851
344,2.3,2694
2418,3.68,4314
923,3.25,3815
1872,4.68,5494
1594,10.92,12818
8611,23.92,28078
2184,3.64,4273
728,3.64,4273
4080,5.1,5987
9800,9.56,11216
1714,3.06,3592
3060,6.12,7184
4368,8.32,9766
4056,6.76,7935
2960,8,9391
3896,5.57,6532
2574,8.58,10072
2322,5.72,6714
3037,8.32,9766
2067,3.45,4044
1642,10.66,12513
4836,16.12,18922
10500,7.95,9332
6615,6.62,7765
1100,2.75,3228
3372,7.4,8681
1000,9.62,11292
7384,20.8,24416
9121,12.5,14667
1794,5.75,6750
3768,7.95,9332
1812,8.16,9579
1785,5.72,6714
5796,14,16434
8568,10.71,12572
8325,9.25,10858
7320,18.3,21481
3004,9.88,11598
16500,16.5,19368
10001,13.52,15864
1622,6.76,7935
1836,2.04,2395
4275,4.75,5576
2964,10.4,12208
728,6.5,7630
1660,4.94,5799
3744,6.24,7325
3093,10.14,11903
7306,10.29,12079
4680,9.36,10987
2170,5.57,6532
35700,20.4,23946
2814,6,7043
7500,7.5,8804
2731,4.34,5089
918,4.59,5388
1687,5.72,6714
1325,2.65,3111
1040,5.2,6104
936,4.68,5494
2730,5.46,6409
4131,4.59,5388
1772,4.75,5576
2244,2.81,3293
2340,13,15260
2470,4.94,5799
2210,4.42,5188
1810,7.54,8851
1301,4.34,5089
1560,3.12,3662
2184,5.46,6409
2147,4.77,5599
1616,3.64,4273
3087,2.21,2588
686,6.24,7325
577,3.9,4578
3634,5.75,6750
3698,6.38,7483
6983,12.25,14380
3066,11.44,13429
14790,14.79,17361
2490,5.46,6409
6530,11.96,14039
6656,16.64,19533
16896,28.16,33055
6885,7.65,8980
4732,6.76,7935
2000,5,5869
3846,10.87,12754
5000,6.38,7483
12600,15.75,18488
5138,13.52,15870
780,3.9,4578
1122,5.61,6585
429,4.05,4754
1248,6.24,7325
7746,11.48,13470
2513,3.83,4490
6975,9.56,11216
924,6.24,7325
765,2.04,2395
1441,8.58,10072
553,4.94,5799
1148,5.04,5910
520,2.6,3052
775963.72,2271.64,2666542
5610,12.75,14966
986,6.24,7325
513,4,4695
6678,14.84,17420
9000,6,7043
57750,33,38737
1347,9.1,10682
1628,9.69,11375
437,3.9,4578
7584,24,28172
4984,16.64,19533
2532,4.34,5089
2340,11.7,13734
10000,10,11738
2100,7,8217
9150,15.25,17901
2160,7.5,8804
904,5.72,6714
2184,3.64,4273
6615,4.41,5177
5000,5,5869
4836,9.75,11445
2117,2.94,3451
863,5.46,6409
3516,7.28,8546
6375,4.25,4989
1081,4.24,4977
3672,6.12,7184
4692,5.87,6885
1431,11.18,13124
483,4.16,4883
3232,10.92,12818
1872,4.5,5282
728,6.5,7630
6120,6.12,7184
1110,3.64,4273
2808,4.68,5494
7344,11.48,13470
1414,5.2,6104
5279,5.87,6885
1196,5.98,7020
926,4.75,5576
5250,7,8217
1348,9.36,10987
6197,6.89,8082
4732,6.76,7935
900,4.5,5282
2808,4.68,5494
2144,4.94,5799
732,4.75,5576
1902,13.78,16176
7920,5.28,6198
918,4.59,5388
5278,7.54,8851
1728,4,4695
1560,7.8,9156
1196,5.98,7020
1102,9.5,11151
2584,7.28,8546
3874,11.4,13376
12500,26.84,31506
87500,50.4,59162
885,2.34,2747
6750,6.75,7923
662,4.94,5799
1306,8.48,9954
6300,7,8217
1836,9.18,10776
1530,11.25,13206
8532,12,14086
1166,2.92,3422
10944,18.24,21411
614,5.2,6104
3606,9.88,11598
1868,8.42,9878
6655,14.04,16481
4186,5.98,7020
1682,5.72,6714
1112,4.75,5576
9180,6.12,7184
1947,9.36,10987
1241,4.25,4989
998,7.4,8681
2805,4.25,4989
693,4.68,5494
3951,9.28,10887
6837,11.4,13376
5464,9.88,11598
3668,7.4,8681
1338,10.14,11903
5075,7.25,8510
4134,6.89,8088
1560,10.4,12208
4505,8.5,9978
7140,7.14,8381
6120,7.65,8980
14076,17.6,20654
13034,9.31,10928
9639,10.71,12572
7497,10.71,12572
2278,5.2,6104
4148,15.25,17901
1716,8.58,10072
1030,8.58,10072
5292,7.68,9015
2393,8.67,10177
1892,6.75,7923
3000,5,5869
10500,7,8217
5400,6.75,7923
1581,7.91,9279
2808,4.68,5494
1224,3.06,3592
1764,7,8217
10118,14.25,16727
3588,5.98,7020
6042,10.07,11821
3030,9.62,11292
4236,9.81,11510
529,4.34,5089
1231,4.34,5089
2902,7.95,9332
7000,7,8217
2800,4,4695
2925,9.75,11445
3625,7.25,8510
379,3.64,4273
3723,17,19955
3534,5.61,6585
468,2.34,2747
988,4.94,5799
1721,7.65,8980
844,2.08,2442
2142,7.14,8381
2087,7.91,9279
487,3.38,3968
2964,9.88,11598
4875,9.75,11445
2147,7.16,8399
6027,15.86,18617
4770,7.95,9332
1665,13.01,15266
1378,13.25,15553
3819,13.26,15565
599,4.16,4883
7250,7.25,8510
10400,16,18781
743,5.46,6409
382,3.9,4578
2445,11.99,14068
1872,9.36,10987
1800,2,2348
3825,7.65,8980
1270,8.58,10072
3875,7.75,9097
4658,6.75,7923
2600,6.5,7630
5920,9.25,10858
1802,9.01,10576
1708,7.91,9279
2184,3.64,4273
3087,2.21,2588
6059,11.48,13470
11000,11,12912
1436,7.25,8510
1441,3.12,3662
170000,164.64,193261
3529,7.54,8851
3675,5.25,6163
3342,13.26,15565
2571,5.57,6532
5750,5.75,6750
1060,5.3,6221
3488,5.1,5987
206,1.56,1831
1193,6.63,7783
1560,3.9,4578
1122,5.61,6585
542,4.75,5576
543,4.94,5799
612,3.06,3592
2107,14.05,16487
3112,9.88,11598
1435,4.16,4883
1722,11.18,13124
5282,6.86,8053
904,5.72,6714
2068,7.28,8546
2775,11.96,14039
884,6.5,7630
730,4.68,5494
4543,14.75,17314
2175,5.04,5910
781,4.94,5799
1743,13.01,15266
1872,9.36,10987
12400,24.8,29111
3900,13,15260
1502,9.88,11598
3727,7.4,8681
2340,4.68,5494
12765,18.5,21716
1378,6.89,8088
827,7.8,9156
5250,5.25,6163
796,6.63,7783
1025,7.54,8851
789,5.98,7020
10335,20.67,24263
1660,7.28,8546
4192,6.75,7923
6370,12.74,14955
3925,6.63,7783
4500,4.5,5282
2882,3.29,3862
4160,10.4,12208
10500,7.03,8252
4543,14.56,17091
5250,5.25,6163
2815,7.65,8980
3432,5.72,6714
2480,6.36,7466
12880,23,26998
730,4.68,5494
6885,7.65,8980
1560,2.6,3052
7020,19.5,22890
2652,8.5,9978
1258,9.25,10858
9250,9.25,10858
2190,3,3522
1428,7.14,8381
1872,4.16,4883
7632,16.96,19908
5005,6.5,7630
9369,17.16,20143
13464,16.83,19756
816,4.08,4789
9800,7.8,9156
2132,10.66,12513
918,4.59,5388
6468,8.58,10066
2000,5,5869
3900,7.8,9156
5733,11.7,13734
3848,13,15260
5610,5.61,6585
7326,6.37,7477
1009,10.97,12871
3692,10.4,12208
1859,6.1,7155
10118,14.25,16727
5330,10.66,12513
572,2.86,3357
1520,2,2348
1071,5.36,6286
3094,8.84,10377
2330,8.32,9766
2040,4,4695
4400,5.5,6456
1092,5.46,6409
4524,7.54,8851
6630,6.63,7783
3744,6.24,7325
541,4.16,4883
749,5.2,6104
1479,9.36,10987
6623,9.44,11075
3672,4.08,4789
6010,14.31,16798
1493,8.16,9579
1716,2.86,3357
6047,9.69,11375
5500,5.5,6456
1326,5.2,6104
3445,6.89,8088
5508,6.89,8082
4502,9.62,11292
4000,4,4695
676,3.38,3968
8160,8.16,9579
2505,8.58,10072
1377,6.89,8082
3625,7.25,8510
2766,9.1,10682
9604,6.86,8053
6899,10.5,12325
10500,7.6,8915
5398,10.71,12572
1350,6.75,7923
1825,3.9,4578
2535,6.76,7935
1068,8.75,10271
2694,2.6,3052
981,6.63,7777
1248,6.24,7325
2080,4.16,4883
3517,7.42,8710
5096,12.74,14955
4225,13,15260
1350,6.75,7923
714,5.1,5987
10500,10.71,12572
2860,5.72,6714
510,5.1,5987
874,7.28,8546
2652,13.26,15565
889,2.92,3422
2010,7.5,8804
2852,6.89,8088
5526,11.96,14039
838,6.25,7337
4835,7.65,8980
2754,9.18,10776
12250,8.82,10353
6671,11.12,13051
5408,13.52,15870
3900,6.5,7630
6105,9.25,10858
1304,8.58,10072
4836,8.06,9461
1820,9.1,10682
4380,15,17608
3058,10.92,12818
976,4,4695
2791,4.08,4789
8100,9,10565
892,5.72,6714
1670,9.44,11075
3641,7.14,8381
75000,51,59866
2512,7.28,8546
5055,7.8,9156
3380,6.76,7935
2964,4.94,5799
2281,6.25,7337
2100,5.25,6163
6000,20,23477
6840,11.4,13382
443,2.81,3293
3750,3.75,4402
5600,8,9391
863,5.83,6843
3120,6.24,7325
1628,7.14,8381
1282,6.38,7483
796,3.9,4578
742,3.71,4355
7685,7.69,9021
5928,9.88,11598
2496,4.16,4883
3750,3.75,4402
1680,3.75,4402
29700,29.7,34863
9800,7.11,8340
3349,3.64,4273
6370,4.9,5752
1794,5.98,7020
4708,6.73,7894
6353,9.08,10653
1771,12.65,14849
9084,10.14,11899
3960,6.6,7747
9194,10.22,11991
9500,9.5,11151
2238,9.95,11674
6555,6.56,7695
3366,8.42,9878
1905,6.03,7078
2878,7.06,8281
4320,8.64,10142
999,6.33,7425
7007,5.39,6327
2912,3.71,4349
6750,4.5,5282
1652,10.73,12589
880,4.4,5165
10300.5,6.87,8061
4271,4.75,5570
6210,9,10565
9359,9.38,11011
7164,7.96,9344
4846,4.91,5758
1984,4.96,5822
859,5.81,6814
1166,5.83,6843
825,5.5,6456
3532,5.89,6909
2265,3.24,3797
5685,5.89,6909
5500,11,12912
7200,4.8,5634
18760,13.4,15729
2975,6.44,7560
3744,9.36,10987
5100,5.1,5987
6450,4.32,5071
10274,10.14,11899
1248,6.24,7325
41849,36.39,42716
9483,9.48,11132
1494,5.05,5928
7579,14.06,16505
1962,3.92,4606
10500,10.5,12325
772,4.95,5811
7277,6.75,7923
2223,7.41,8698
3213,4.59,5388
1406,9.9,11621
9450,6.75,7923
8533,7.42,8710
19292,13.78,16176
4843,10.18,11944
4400,8.8,10330
9418,11.77,13818
4709,11.77,13818
7656,12.76,14978
9352,7.19,8445
8033,12.6,14790
4056,6.76,7935
954,4.77,5599
1512,1.89,2219
936,4.68,5494
3139,7.85,9212
8060,8.06,9461
2856,3.57,4191
2173,10.87,12754
3582,3.98,4672
720,4.68,5488
4860,4.86,5705
2200,4.4,5165
7950,15.9,18664
4464,11.16,13100
2354,7.85,9212
848,4.24,4977
10500,10.46,12283
4950,8.25,9684
1071,5.36,6286
3480,5.8,6808
906,4.53,5317
8077,6.21,7293
758,5.05,5928
5304,8.84,10377
2750,2.75,3228
963,3.38,3968
8840,8.84,10377
5000,5,5869
3360,4.2,4930
6783,9.69,11375
2290,5.73,6720
6738,8.75,10271
1499,5.36,6286
1092,4.73,5546
2753,7.44,8733
2988,10.45,12267
403,2.65,3111
2943,2.94,3455
43750,25.2,29581
959,3.24,3803
7480,6.27,7360
9800,10.5,12325
3713,4.13,4842
3468,4.34,5089
6671,11.12,13051
5513,3.68,4314
5900,6.56,7695
6048,6.72,7888
4689,6.87,8061
3705,2.47,2899
5643,6.27,7360
1083,7.52,8828
12361,17.66,20728
4725,4.73,5546
7848,5.23,6142
3540,3.54,4155
5232,13.08,15354
6624,8.28,9719
5883,9.81,11510
2976,4.25,4990
4263,5.98,7020
3213,4.59,5388
2712,5.18,6075
6069,8.67,10177
1560,3.9,4578
3312,4.14,4860
7920,8.8,10330
3508,11.39,13370
30360,26.84,31506
6900,6,7043
2290,5.73,6720
880,4.4,5165
6095,6.1,7155
1368,6.84,8029
8057,10.46,12283
5865,5.87,6885
21974,15.7,18425
7696,13,15260
2381,11.34,13311
2018,6.73,7894
4023,4.47,5247
6500,5,5869
2253,4.51,5288
3180,6.36,7466
3465,4.95,5811
8273,7.19,8445
1686,3.85,4519
8820,5.88,6902
1908,4.77,5599
4757,4.66,5464
1870,9.35,10975
2860,5.72,6714
4251,4.25,4990
3213,4.59,5388
7546,8.97,10529
3390,10.66,12513
13080,13.08,15354
1999,4.2,4930
1924,9.62,11292
9000,9,10565
2435,10.71,12572
6725,6.73,7894
5494,7.85,9212
21070,21.07,24733
5951,4.58,5374
2614,6.6,7747
5421,18.64,21879
2170,4.34,5094
3924,3.92,4606
36660,24.44,28689
5380,6.73,7894
7700,7.7,9039
69392,82.32,96631
2120,4.24,4977
2226,3.71,4355
2354,5.89,6909
7176,5.52,6480
1872,4.68,5494
7900,10,11738
5723,11.45,13435
1992,4.98,5846
12168,9.36,10987
3311,11.66,13687
10500,9.16,10748
9240,13.2,15495
3123,3.47,4073
2281,5.78,6779
2424,9.18,10776
2035,8.48,9954
4709,7.85,9212
9100,7,8217
2943,5.89,6909
1692,7.14,8381
9180,9.18,10776
6867,6.87,8061
1718,5.73,6720
2878,7.19,8445
12350,9.5,11151
43680,33.6,39441
6370,10.25,12032
1948,5.57,6532
7605,7.5,8804
4095,8.19,9614
6936,8.67,10177
7521,7.52,8828
70490,56.1,65852
4450,6.54,7677
6053,6.73,7894
2696,11.83,13881
5376,8.96,10518
11960,11.96,14039
6272,8.96,10518
3432,8.58,10072
10500,8.42,9878
7280,7.28,8546
8502,8.5,9980
10080,6.72,7888
8580,14.3,16786
4807,6.87,8061
2980,2.98,3498
3822,5.46,6409
1795,4.4,5165
6821,6.54,7677
5208,8.68,10189
5096,3.92,4601
22661,25.18,29556
4590,4.59,5388
1094,5.47,6421
12099,12.1,14202
1976,13,15260
7497,10.71,12572
4709,5.23,6142
4578,6.54,7677
1352,3.38,3968
3024,3.78,4437
2616,6.54,7677
10301,6.87,8061
3303,8.58,10072
1752,3.85,4519
3250,4.58,5374
9800,9.81,11515
4043,5.78,6779
1272,6.36,7466
3468,4.34,5089
1348,9.36,10987
5856,9.76,11457
8829,8.83,10364
6867,6.87,8061
2052,3.42,4015
3791,5.47,6421
2142,7.14,8381
11960,11.96,14039
7960,7.96,9344
8281,6.37,7477
5831,4.17,4889
5655,7.25,8510
8371,10.46,12283
48600,48.6,57049
5279,4.59,5388
4285,3.92,4606
4704,6.27,7360
7848,13.08,15354
2857,21.32,25026
6630,6.63,7783
2336,4.98,5846
2313,4.59,5388
4735,9.47,11116
1752,3.85,4519
1650,5.5,6456
5886,11.77,13818
1526,10.6,12443
1602,10.14,11903
8918,6.86,8053
1026,5.13,6022
1114,7.43,8716
1155,5.78,6779
3420,6.84,8029
2976,6.89,8088
2942,8.06,9461
9100,7,8217
13500,13.5,15847
2635,6.2,7278
2353,5.3,6221
5880,8.4,9860
2184,3.64,4273
6968,17.42,20448
3024,4.32,5071
2069,6.63,7783
4905,9.81,11515
4950,5.5,6456
10300.5,6.87,8061
1592,3.98,4672
5400,5.4,6339
8640,5.76,6761
1776,6.63,7777
3696,6.16,7231
1462,9.88,11598
2850,5.7,6691
5526,11.96,14039
1153,8.48,9954
6867,6.87,8061
1071,3.57,4191
1219,6.1,7155
6345,11.77,13818
7623,8.47,9942
2443,3.28,3850
4134,6.89,8088
2635,5.27,6186
2392,5.98,7020
3420,6.84,8029
2149,3.07,3604
979,6.36,7466
2723,8.25,9684
7776,9.9,11621
7750,7.75,9097
1430,7.15,8393
5500,5.5,6456
1855,3.71,4355
3520,4.4,5165
8160,8.16,9579
3416,9.36,10987
8085,8.09,9490
2878,7.19,8445
3286,4.24,4971
24794,23.4,27468
5830,11.66,13687
9800,7.52,8828
5376,6.84,8029
880,4.4,5165
9000,9,10565
4552,7.14,8381
0,9.3,10917
8415,8.42,9878
4320,5.61,6585
1860,3.72,4367
579,3.71,4355
2288,5.72,6714
4692,5.87,6885
74250,49.5,58105
9100,6.5,7630
3188,7.7,9039
4284,7.14,8381
5500,5.5,6456
9450,10.5,12325
4660,6.73,7894
3498,5.83,6843
6169,3.53,4138
1040,5.2,6104
8894,11.12,13051
4284,6.12,7184
1788,3.58,4196
2353,7.95,9332
9016,12.88,15119
5883,8.67,10177
3445,6.89,8088
1237,4.24,4971
2200,4.4,5165
9100,7,8217
2988,7.47,8769
2808,4.68,5494
10091,9.81,11515
7020,4.68,5494
5610,5.61,6585
1820,9.1,10682
3224,8.06,9461
672,0.84,986
6864,17.16,20143
11053,8.5,9980
1113,5.57,6532
4930,8.5,9978
2695,3.85,4519
2464,6.72,7888
9100,7,8217
2088,6.96,8170
1325,2.65,3111
7554,10.79,12667
3434,2.29,2687
1413,4.47,5247
1265,6.33,7425
4008,5.73,6720
8640,5.76,6761
1485,4.95,5811
3360,6.72,7888
1210,6.05,7102
2574,3.64,4273
3180,5.3,6221
3744,9.36,10987
2310,7.7,9039
8410,11.12,13051
1540,3.85,4519
3915,4,4689
5920,8,9391
2448,6.12,7184
6831,7.59,8909
7480,9.35,10975
9777,8.5,9980
5891,8.42,9878
6174,4.41,5177
5355,5.36,6286
4186,5.98,7020
1194,3.98,4672
10500,9.89,11609
53408,55.8,65500
3273,4.25,4989
19440,19.44,22819
2868,9.96,11691
7000,5,5869
2136,8.22,9643
9800,7.25,8504
3616,14.82,17396
1675,4.24,4977
7140,8.93,10477
9810,9.81,11515
4028,5.04,5910
3566,6.89,8082
7000,7,8217
4120,6.87,8061
2600,6.5,7630
9800,7,8217
1404,7.02,8240
2601,4.34,5089
3263,6.3,7395
1444,9.63,11298
16114,12.4,14550
4415,8.83,10364
5177,7.65,8980
9800,7.85,9212
7325,9.16,10748
366,2.65,3111
5400,5.4,6339
5265,4.58,5374
5684,7.11,8340
3978,9.95,11674
3468,4.34,5089
2747,7.43,8716
2320,5.23,6133
2170,4.34,5094
6360,6.36,7466
4455,7.43,8716
4900,16.12,18922
4845,4.85,5687
53120,55.2,64796
516,2.08,2442
3795,6.33,7425
3550,7.69,9021
5494,9.16,10748
3071,8.19,9614
4341,9.52,11175
7325,5.23,6142
2385,4.77,5599
1592,3.98,4672
5472,13.68,16058
1430,7.15,8393
12644,11,12906
2055,6.73,7894
9614,6.87,8061
2128,8.06,9461
3924,3.92,4606
2609,8.47,9942
1325,6.63,7777
6162,6,7043
2315,7.42,8710
7405,16.24,19063
4695,6.21,7290
9800,7.85,9212
2841,9.47,11116
4905,4.91,5758
16530,11.02,12936
4709,5.89,6909
3393,7.44,8733
2667,9.01,10576
8375,16.75,19662
4661,7.47,8769
4640,9.28,10893
3434,4.91,5758
6720,6.72,7888
3313,6.63,7777
5795,7.52,8828
3740,4.68,5488
4550,6.5,7630
7688,10.14,11899
4290,8.58,10072
10725,10.73,12589
6000,8,9391
6173,8.59,10077
8829,5.89,6909
10530,10.53,12361
4140,4.14,4860
3582,3.98,4672
2933,3.92,4606
5980,5.98,7020
1000,5,5869
1033,4.59,5388
5520,5.52,6480
4826,7.52,8828
2512,5.3,6221
2690,6.73,7894
7783,11.12,13051
6769,7.52,8828
6600,13.2,15495
4578,8.06,9461
3350,6.56,7695
1690,6.5,7630
11282,9.81,11515
13505,19.29,22647
2115,3.83,4490
4376,5.47,6421
9800,7.19,8445
10920,15.6,18312
3706,6.88,8070
5628,18.76,22021
1373,2.29,2687
16500,16.5,19368
796,3.98,4672
4376,5.47,6421
3672,9.18,10776
10383,16.64,19533
2966,11.96,14039
23806,18.31,21495
8927,6.87,8061
3825,3.83,4490
11200,14,16434
6017,5.23,6142
4513,7.52,8828
8568,10.92,12818
9165,7.05,8276
6867,4.91,5758
4004,6.5,7630
2475,4.95,5811
7652,5.89,6909
3472,8.68,10189
9680,12.1,14203
825,5.5,6456
6278,7.85,9212
1980,3.3,3874
2970,9.9,11621
5232,5.23,6142
1248,6.24,7325
2475,4.95,5811
4807,6.87,8061
4709,11.77,13818
6300,7,8217
3207,4.17,4889
1398,5.46,6409
3899,5.57,6538
2392,5.98,7020
17860,17.86,20965
6867,6.87,8061
5400,5.4,6339
12000,12,14086
1221,8.25,9684
2040,10.2,11973
2142,3.64,4273
5226,6.62,7765
2938,6.36,7466
5245,9.99,11727
10300.5,6.87,8061
4316,10.79,12667
7546,8.18,9596
825,5.5,6456
5940,14.85,17432
10000,26.16,30708
9882,15.04,17657
4940,6.5,7630
3065,7.19,8445
10301,6.87,8061
2902,6.63,7777
4125,8.25,9684
3134,4.24,4971
2847,6.5,7630
5951,8.5,9980
2786,3.98,4672
1479,7.4,8681
6278,15.7,18425
2325,4.65,5458
3924,6.54,7677
11880,11.88,13945
4905,8.18,9596
4533,10.64,12490
1592,3.98,4672
6510,7.02,8240
14840,21.2,24885
1087,7.15,8393
1434,9.96,11691
1328,7.14,8381
801,5.98,7020
4080,5.1,5987
46800,46.8,54936
7145,6.21,7293
2441,6.51,7642
1980,9.9,11621
11750,11.75,13793
87000,265.53,311684
7280,9.1,10682
825,5.5,6456
4709,5.89,6909
7358,8.18,9596
9604,13.72,16105
7000,7,8217
8370,8.37,9825
2520,3.6,4226
3650,7.7,9039
3388,4.24,4971
4221,3.02,3539
6278,7.85,9212
2226,3.71,4355
1177,2.94,3455
2436,4.06,4766
3300,5.5,6456
2480,12.48,14650
7504,9.38,11011
3213,4.59,5388
652,4.53,5317
3476,6.71,7876
6867,6.37,7477
2015,4.03,4731
785,1.96,2303
11772,11.77,13818
2784,6.96,8170
3021,5.04,5910
7344,9.18,10776
4709,5.23,6142
5824,8.32,9766
7290,7.29,8557
1815,3.03,3551
4066,6.6,7747
4368,7.28,8546
2135,3.05,3580
12000,12,14086
9800,8.18,9596
1989,5.04,5910
5218,9.44,11075
6720,8.4,9860
3353,3.73,4373
2747,4.58,5374
1045,5.23,6133
2480,4.96,5822
9810,9.81,11515
3273,4.68,5488
3750,3.75,4402
646,5.05,5928
5985,11.97,14051
10500,11,12912
3719,6.73,7894
8372,7.28,8546
5723,8.18,9596
6120,6.12,7184
70000,53.75,63094
17514,17.25,20249
1186,7.8,9156
3888,4.95,5811
5148,7.15,8393
3240,8.1,9508
4620,5.78,6779
2289,4.58,5374
3720,7.44,8733
795,3.98,4666
6480,6.48,7606
2236,11.18,13124
2195,3.14,3680
118784,164.64,193261
2916,7.43,8716
11772,11.77,13818
6288,7.96,9344
1836,9.18,10776
5880,8.4,9860
4116,5.88,6902
3557,14.82,17396
18720,23.4,27468
10044,11.16,13100
3173,6.87,8061
5761,7,8217
5395.5,3.6,4222
4225,3.25,3815
1570,3.92,4606
5890,11.78,13828
2761,4.14,4860
1694,4.24,4971
842,2.86,3357
3738,3.25,3815
8033,11.48,13470
1145,5.73,6720
5638,11.28,13235
1785,8.93,10477
1756,11.55,13558
5433,10.87,12754
4970,12.43,14586
2790,6.37,7477
3582,3.98,4672
5534,9.18,10776
1071,5.36,6286
5306,8.47,9942
5380,6.73,7894
14904,24.84,29158
2508,5.7,6691
1500,7.5,8804
3582,3.98,4672
2052,5.23,6133
4905,3.27,3838
2200,11,12912
11772,11.77,13818
1440,3.6,4226
2094,13.25,15553
2744,1.96,2301
1748,5.99,7025
10249,6.9,8099
6528,8.16,9579
3640,7.28,8546
6017,15.04,17657
1870,9.35,10975
7830,7.83,9191
4160,5.2,6104
1315,8.32,9766
5460,7.8,9156
3517,7.42,8710
982,6.82,8006
1941,6.47,7595
11053,8.5,9980
2325,4.65,5458
2907,4.85,5687
2022,7.02,8240
7000,5,5869
5390,5.39,6327
11053,8.5,9980
5712,8.16,9579
2342,3.52,4126
2475,4.95,5811
17600,17.6,20660
5120,10.24,12020
3630,6.05,7102
3060,3.83,4490
8240,5.89,6909
1390,3.51,4120
5950,4.25,4989
