,Project Number,Project Cost
467,2011-159960-SLPR,51520
468,2012-499424-Sola,45340
469,2011-413817-SLPR,37312
470,2013-536671-Sola,27489
471,2014-639859-Sola,30630
472,2014-666062-Sola,34115
473,2014-649236-Sola,33547
474,4101-99060,146079
475,2012-457052-SLPR,200000
476,2012-487875-Sola,56468
477,2011-157672-SLPR,70562
478,2011-159544-SLPR,30904
479,2014-658953-Sola,32130
480,2014-661872-Sola,31071.6
481,2013-625208-Sola,30420
482,2010-147088-SLPR,60175
483,2011-156544-SLPR,40000
484,2013-538463-Sola,36529
485,2010-145515-SLPR,750000
486,2012-475978-Sola,19900
487,2012-487568-Sola,30082
488,2011-160127-SLPR,179750
489,2013-529335-Sola,30345
490,2014-659349-Sola,36146
491,2013-533421-Sola,21560
492,2013-531440-Sola,40807
493,4001-031,30561.17
494,2013-540657-Sola,394500
495,2014-660637-Sola,12048
496,2011-156878-SLPR,23040
497,4001-62449,36403
498,2011-160507-SLPR,55476
499,2013-632922-Sola,34385
500,2013-538231-Sola,26910
501,4003-023-1,17127
502,2012-487956-Sola,42664
503,2011-371999-SLPR,56865
504,2010-147721-SLPR,50195
505,2014-660634-Sola,34807
506,2014-643765-Sola,26941.2
507,2011-160576-SLPR,63000
508,4006-47057,18750
509,2013-538220-Sola,33000
510,2011-156795-SLPR,31450
511,2011-158432-SLPR,40435.2
512,2011-158667-SLPR,37212.5
513,2010-148484-SLPR,21738
514,2011-159274-SLPR,45200
515,2014-654921-Sola,29855
516,2011-156238-SLPR,26200
517,2011-161110-SLPR,33549
518,2014-663754-Sola,32400
519,2013-529239-Sola,38500
520,2013-536218-Sola,26371
521,2014-648740-Sola,43763.96
522,2011-159400-SLPR,43750
523,2013-538260-Sola,67600
524,2013-625334-Sola,32232
525,2013-540895-Sola,28752
526,2014-665990-Sola,24778
527,2014-643555-Sola,32800
528,2011-157924-SLPR,58631
529,2011-156591-SLPR,40300
530,2011-158302-SLPR,
531,2014-647988-Sola,49592
532,4054-19823,26460
533,2013-536655-Sola,25500
534,2014-645498-Sola,56885
535,4022-20110,28471.51
536,2013-538782-Sola,25800
537,2011-158157-SLPR,
538,2013-538336-Sola,13000
539,2012-500287-Sola,49966
540,4001-30096,32250.95
541,2011-159226-SLPR,63550
542,2013-538328-Sola,42487
543,2011-157470-SLPR,58968
544,2011-432750-Sola,32900
545,2011-157157-SLPR,
546,2010-145246-SLPR,59480
547,2011-158141-SLPR,65925
548,2014-663988-Sola,37000
549,2011-440610-Sola,42840
550,2014-648175-Sola,32089
551,2013-533614-Sola,35690
552,2013-532476-Sola,36703
553,2014-659059-Sola,44327
554,2014-664781-Sola,44178
555,2014-664152-Sola,53200
556,2011-159709-SLPR,57960
557,4009-004,288160
558,2014-649461-Sola,45216
559,2013-538560-Sola,22873
560,2011-432937-SLPR,61992
561,4001-99454,18458
562,2011-160852-SLPR,81552.5
563,2013-535716-Sola,28000
564,2014-661380-Sola,18750
565,2013-532192-Sola,34980
566,2013-536349-Sola,50803
567,2011-188572-SLPR,82000
568,2013-586578-Sola,24500
569,2013-540722-Sola,27187.5
570,2013-534268-Sola,37315.2
571,2014-648320-Sola,17503
572,4030-25695,35936
573,2013-535949-Sola,15100
574,2014-649423-Sola,35000
575,2012-475084-Sola,27526
576,2011-161059-SLPR,28520
577,2012-470334-Sola,56468
578,4006-65216,34680
579,2011-150333-SLPR,43240
580,4033-57316-GJ,37346.4
581,4011-26866,31564
582,4030-21356,34895
583,2011-150548-SLPR,12000
