,Project Number,Project Cost
57595,5194-81623-GJ,26323
57596,5321-70398,22013.17
57597,5297-85449,29186.95
57598,5297-71310,38072.5
57599,5165-51383,45992.31
57600,48729,21442.26
57601,5159-82163,51229.5
57602,68605,34032.41
57603,5395-92677,23339.25
57604,5140-67098,29188
57605,02077-027,32311.64
57606,5247-93139,8370
57607,5137-93522,24235.2
57608,5171-65276,43728.37
57609,5293-101371,39233
57610,5209-51525,18864.27
57611,5245-97587,15767.6
57612,5105-58541,31324.09
57613,5153-59332,36183
57614,5137-54860,32587.5
57615,5330-100898,32863
57616,5137-47312,68952
57617,5098-93068,11855.54
57618,5292-57532,37082
57619,5105-56365,21889.06
57620,5098-85780,13749.06
57621,5153-65853,25447
57622,5330-101465,42966
57623,02006-019,45500
57624,02030-134,41655
57625,5443-102707,23326.63
57626,5194-79537-GJ,33876
57627,5098-93448,12042.91
57628,5153-60440,54891
57629,66059,17054.4
57630,5155-58026,42660
57631,5292-42198,62630
57632,5293-100042,22481.5
57633,5159-48195,76500
57634,5181-0176-Financing,27452.25
57635,5098-86502,17017.2
57636,5297-88898,35316
57637,5178-53109,42900
57638,5219-81608,13218.75
57639,5138-69710,19589
57640,5297-85418,32700
57641,5209-60863,18708
57642,5121-55299-GJ,34425
57643,5098-90360,22308.58
57644,5247-81927,8370
57645,5347-80736,25269.3
57646,5105-49201,32001.01
57647,5159-84192,23419.2
57648,5100-80753,54800
57649,48754,10295.25
57650,5171-49455,20140
57651,5347-86429,20534.8
57652,5122-85599,37107
57653,5253-40340,724737.53
57654,5292-53520,42510
57655,5167-98161,6125000
57656,5171-96308,36582
57657,5153-57958,21725
57658,5181-0174-Financing,46800
57659,5181-93434,32974.33
57660,02042-010,24000
57661,5159-60234,33150
57662,5153-65290,32045
57663,5122-87116,44688
57664,5292-55976,26552
57665,5159-53379,48450
57666,5129-100716,25344
57667,5098-83876,25150
57668,5293-65420-GJ,40496
57669,5159-81684,27810.3
57670,67816,16320
57671,02011-003,72800
57672,5178-90809,30346.68
57673,33566-1,360000
57674,5347-96848,25390.56
57675,02148-001,40000
57676,5425-102302,35041.5
57677,02020-001,23300
57678,5373-100649,44325
57679,5292-60170,42335
57680,5098-86308,22000
57681,5159-79542,46838.4
57682,5122-76053,30716
57683,5153-77964,22766
57684,5245-58978,5709.77
57685,5138-77127,24057
57686,5159-47999,36060.75
57687,68042,24552
57688,02053-005,48377.47
57689,5293-90198,21243
57690,31299A-1,6096000
57691,5171-59940,27030
57692,5125-65715,44900
57693,02061-074,70800
57694,5427-102761,32915.83
57695,5400-100922,51012
57696,5273-93994,35316
57697,10738,13512.8
57698,68906,18442.62
57699,24806-2,1618906
57700,5166-58768,22000.09
57701,02056-050-1,31148
57702,5171-85850,39413.75
57703,5159-93784,63963.69
57704,5251-68342,27500
57705,5098-83968,26482.5
57706,5098-90834,33184.45
57707,66111,20213.6
57708,5159-101598,25029.27
57709,5324-76436,22000
57710,02005-012,31391
57711,5171-101950,11465.28
57712,5105-49581,30509
57713,5293-79676,25629
57714,5104-42766,23870
57715,50688,32120.4
57716,5137-48934,43316
57717,5105-57730,37145
57718,5159-58819,44625
57719,02056-010,47713
57720,5427-100340,33741.01
57721,5290-69411,43531
57722,02001-050,37959.32
57723,02022-009,128530
57724,5229-70609-GJ,46654.79
57725,5245-94119,27030
57726,5171-47316,27630
57727,5105-43961,13924.52
57728,02135-011,40289.97
57729,5098-87769,21220.05
57730,5247-73183,23145
57731,5149-72019,16500
57732,5098-91869,14848.64
57733,5137-47831,48620
57734,5293-88633,21124
57735,5153-70379,34510
57736,5121-50767-GJ,56000
57737,5137-69376,17907.5
57738,5321-96255,57234.4
57739,5292-58629,40700
57740,5171-59941,45520
57741,5165-47047,27516.93
57742,5129-43133-GJ,16728
57743,5209-67803,64736
57744,5336-95649,28400
57745,5171-99801,14950.49
57746,5159-84245,19028.1
57747,5156-64382-GJ,32693.92
57748,5124-64000,23969.7
57749,5137-75421,31102.5
57750,5149-0342-Financing,31700
57751,65863,27453.6
57752,02061-028,114775
57753,5293-59761-GJ,24092
57754,33530A-1,4788000
57755,5100-72874,27000
57756,5098-83658,11702.45
57757,5293-78190-GJ,22068.5
57758,5159-101202,13905.15
57759,5159-81646,14637
57760,02029-012,33740
57761,5149-50540,21500
57762,5273-70838,20437
57763,5229-65640-GJ,49644
57764,02056-009,33558
57765,5138-99230,21848
57766,5159-57103,31875
57767,5397-100595,27900
57768,5321-94014,19439.92
57769,5171-56411,14840
57770,5114-60311,30342
57771,5098-87797,20700
57772,5293-97369,11461
57773,5178-68938-GJ,26325
57774,5159-78707,45900
57775,5137-49931,25675
57776,02095-005,182955
57777,5104-46545,16200
57778,68599,16064.99
57779,02086-004,20695
57780,5245-98379,30940
57781,5194-86570,36147
57782,5165-66848,42535.57
57783,48718,20200.06
57784,5293-75533-GJ,51231.5
57785,02077-006,24485.3
57786,5138-57502,12048
57787,5165-56109,26683.06
57788,66033,37100.5
57789,5159-81595,22950
57790,5140-64481-GJ,15840
57791,5347-75272,18718.25
57792,02116-009,192192
57793,5379-99216,24924
57794,5159-71213,55080
57795,5321-84225,31373.92
57796,31297-1,7707432
57797,5105-50570,46096.11
57798,49821-1,4634585
57799,5218-65365,29900
57800,5425-99818,15749.96
57801,5352-99942,32096.5
57802,5160-72984,48906
57803,5293-52186-GJ,22987.5
57804,5105-54124,38348.87
57805,5129-54939,27391.01
57806,5293-90382-GJ,36572
57807,5105-45009,32219.88
57808,5347-75268,26711.37
57809,5156-49940,21573
57810,5100-79582,36790
57811,5159-81670,29070
57812,5409-90547,1000000
57813,5159-60457,52275
57814,5292-55009,28940
57815,5209-68648,27595
57816,5293-80147-GJ,33209
57817,5181-54287-GJ,16556
57818,5156-57181-GJ,34768
57819,67793,27663.93
57820,48120,208516
57821,02003-058,44872
57822,5128-64404,21275
57823,5104-42489,18920
57824,5293-69644-GJ,25110
57825,5098-90298,17784
57826,5321-82203,45202.35
57827,67979,27900
57828,5171-60945,18020
57829,02030-075,67127
57830,02033-026,29930.22
57831,02006-034,82300
57832,5159-94808,31981.85
57833,5153-51997,23621
57834,5247-88032,44803
57835,5098-92691,28601.18
57836,5170-61655,42740
57837,5137-63288,21677.5
57838,5347-99855,20683.52
57839,5104-56819,40050
57840,5100-57663,54800
57841,5292-59613,42875
57842,5138-81993,16211
57843,5159-94828,18076.7
57844,5274-87698,32083
57845,02003-025-1,36039.92
57846,5098-84390,30600
57847,5122-77356,30000
57848,5247-94240,33480
57849,41233A-1,1547816
57850,02094-008-1,48863
57851,5209-73427,24724
57852,68013,75318.8
57853,48520,25447.5
57854,48318,15772.8
57855,5159-48200,26507.25
57856,5171-93039,47802.68
57857,5397-101412,37350
57858,5373-98971,34500
57859,5129-46915-GJ,30784.19
57860,65543,41202
57861,5159-79523,35128.8
57862,5229-56505,16182.28
57863,5293-71226-GJ,43700
57864,5159-80277,19028.1
57865,5105-49858,35291.1
57866,02011-030,46077
57867,5171-55690,21200
57868,5293-61737-GJ,27720
57869,5427-101478,25234.68
57870,02030-030,63360
57871,5098-88850,33685
57872,5098-94761,13927.15
57873,5159-78663,55080
57874,5137-50436,51220
57875,02011-006,18658
57876,02030-028,34200
57877,02015-023,230627
57878,5137-53801,41475
57879,5245-97189,25415
57880,5153-67017,17907.5
57881,5122-100807,25515
57882,5411-100915,21717.45
57883,51506,27663.93
57884,5347-100545,23049
57885,5209-81521,22365
57886,5171-57506,21624
57887,5347-69957,39167.42
57888,5194-93800,33167
57889,5209-78178XXJW,18705
57890,02003-069,72268
57891,02018-007,21440
57892,5292-57825,30802
57893,5159-53386,51000
57894,5138-96437,26005
57895,5293-85683,25932.8
57896,5400-94167,37408.8
57897,5159-62150,15606
57898,5105-57723,15233.94
57899,5165-66070,32791.56
57900,5165-55684,28294.6
57901,02030-117,50512
57902,5098-87002,20615
57903,5379-94637,30077
57904,5293-94396,33260
57905,5336-76611-GJ,21830
57906,5159-90324,61182.66
57907,5159-52295,49725
57908,5137-90445,27280
57909,5292-56042,54220
57910,5138-62379,27294
57911,5273-83575,25179.03
57912,5165-61382,38675.99
57913,5140-84263,28210
57914,5165-58260,29600
57915,5293-84570-GJ,24570
57916,5347-77325,12058.2
57917,5155-94810,34450
57918,5137-48623,51935
57919,68625,29640
57920,5209-93258,43191
57921,5397-92745,21150
57922,02012-013,36671
57923,5159-84179,45374.7
57924,5138-66406-GJ,14200
57925,5293-60482-GJ,32266
57926,5160-69816-IRH,51480
57927,5293-98973,16372.5
57928,10686,26861.25
57929,5159-102333,20857.73
57930,5293-72473,26744.75
57931,5352-87128,36691.2
57932,51574,15015
57933,5105-51378,50961
57934,5098-83404,45021.82
57935,5098-93275,11975.07
57936,5220-50532,20242.5
57937,5321-91302,26702.96
57938,5122-94463,1307.25
57939,5171-46926,41870
57940,5297-89784,37523.27
57941,37877A-1,2717132
57942,5104-42456,38115
57943,5098-94908,21475.96
57944,5220-56798,28061
57945,5293-83085,31769.43
57946,5159-98409,33372.36
57947,02005-052,29891.45
57948,5137-46125,44818.8
57949,5247-81947,18036
57950,5153-56108,21670
57951,5219-46727,110246
57952,48631,38106
57953,5321-76412,24029.99
57954,5292-45867,53800
57955,66143,40640.4
57956,5098-97682,13881.4
57957,5173-80012,28588
57958,5407-88818,321473.68
57959,5098-86117,16100
57960,5165-57957,43193.45
57961,5352-71459,30878
57962,5437-102368,28498.05
57963,5165-58550,35610.31
57964,5155-58834,26325
57965,5321-0186-Financing,39819.69
57966,5105-59364,31194.96
57967,5165-57539,40766.08
57968,5383-100043,27648
57969,65209,27144
57970,02018-028,26940
57971,5137-57452,20737.5
57972,5098-87096,11420
57973,66116,25103.44
57974,5401-101680,835665.6
57975,5159-99382,11124.12
57976,02077-012,46617.94
57977,5200-53762,30997.89
57978,5104-44016,37810
57979,66090,47358.75
57980,5295-82814,7037439
57981,5245-93387,15767.5
57982,5153-63281,14137.5
57983,5154-46139-GJ,35754
57984,5293-64037,84200
57985,69045,29220
57986,5324-72553,15000
57987,5347-98658,17663.36
57988,68181,51112
57989,5102-83059,28000
57990,5295-100021,6409485
57991,5337-99171,12675
57992,5171-47204,20405
57993,5122-91710,25000
57994,5293-69565-GJ,25800
57995,5241-98934,158105
57996,5292-77199,55062.3
57997,02005-036,37428
57998,5247-77990,43583
57999,5159-69802,18360
58000,5292-56100,50162
58001,02005-069,81529
58002,5171-57382,30740
58003,5156-52917,41174
58004,02061-041,28875
58005,5320-80444,12323.73
58006,48664,27807
58007,5137-65864,44335.2
58008,5122-67322,23000
58009,5105-46043,49988.23
58010,5138-92426,53568
58011,5137-67839,32987.5
58012,5098-89606,29834.25
58013,5159-66544,39780
58014,5105-48614,17010.67
58015,5098-84136,23829.65
58016,02019-015,127845
58017,37882-1,2466312
58018,5292-55073,60725
58019,5181-59791-GJ,23394.8
58020,5115-53491-GJ,58800
58021,02022-026,58910
58022,02098A-002,30165
58023,5159-54260,29325
58024,5137-52999,27650
58025,5100-64374,53300
58026,5194-0016-Financing,30659
58027,02056-025-1,41509
58028,5137-50610,34562.5
58029,5138-83800,26432
58030,5105-57963,45070.62
58031,5159-92062,19467.21
58032,5397-101413,21150
58033,5161-93582-GJ,28899
58034,5241-92039,25007
58035,5138-56768-GJ,35435
58036,5200-54962,27241.5
58037,5140-64966-GJ,22448
58038,5273-88278,48019.97
58039,5098-88814,11135
58040,68234,25774.8
58041,68174,34138
58042,5165-54513,41751.31
58043,5160-70966,37323
58044,5107-44570,28200
58045,02116-004,37537.5
58046,5165-48963,38592
58047,5159-64485,47430
58048,5293-67109-GJ,31738
58049,5395-94684,22770
58050,5153-91339,15840
58051,5292-56577,47645
58052,5171-62045,20140
58053,5427-100152,33681.01
58054,02143-001,45300
58055,5136-55407,40708
58056,5293-92027,30134
58057,5247-59093,27472.4
58058,5098-83711,21006.34
58059,5105-56926,26662.5
58060,5159-89583,82040.39
58061,31328A-1,2260375
58062,5098-84138,11726.2
58063,5159-101714,25029.27
58064,48489,25755
58065,5297-99835,25532.16
58066,02001-043,41883.45
58067,69137,57573.9
58068,5373-94683,33744
58069,5336-98967,25081
58070,5098-94140,17680
58071,5347-102393,19743.36
58072,5171-77945,31653.72
58073,02077-021,21928.09
58074,5220-56626,23420
58075,5217-56671,724005.6
58076,5397-99440,27900
58077,5159-82181,39519.9
58078,5229-80822,28464.8
58079,51010-1,5966422
58080,5321-86577-IRH,37620.1
58081,68918,43861
58082,5293-92132-GJ,19601.25
58083,5397-100925,21150
58084,02030-040,50056
58085,5159-52304,23409
58086,68869,102960
58087,5321-0332-Financing,42554.5
58088,5149-76409,35063
58089,5125-101661,28550
58090,5438-102824,36036
58091,5213-102728,23900
58092,5105-42714,24712.03
58093,5156-48429,66960
58094,5293-72813-GJ,36959
58095,5397-100955,37350
58096,5159-70970,36720
58097,5159-47960,45441
58098,5142-92051-GJ,28296.88
58099,5171-100908,20244
58100,02022-020,33210
58101,5138-60146,16885
58102,5137-47463,32487
58103,5098-89015,13341.31
58104,5105-56453,18573
58105,5247-60090,22522.5
58106,5293-49572-GJ,49934.81
58107,5105-42556,27375
58108,5374-87744,19575.69
58109,5138-59193,35291
58110,5427-101689,22579.41
58111,5137-48926,56355
58112,5159-52302,14025
58113,5137-92800,17054.4
58114,02002-001,44710
58115,5321-91301,33000.1
58116,5330-94700,40176
58117,5321-72095-GJ,29537.92
58118,5149-60583,24380
58119,5321-87790,38461.6
58120,5105-58889,42769.72
58121,02056-030,40146
58122,5438-100913,32175
58123,5159-79484,44370
58124,67723,8933344
58125,02061-017,79575
58126,02012-023-1,45316.5
58127,5165-99786,30214.8
58128,5320-71681,20247.78
58129,5098-83928,16995.38
58130,5129-65368,35363
58131,5138-55344,23751
58132,5098-86351,13644.75
58133,5379-102314,48442.88
58134,5397-102229,37350
58135,5105-58197,62273
58136,02001-009,26118.39
58137,67838,74400
58138,5247-78019,23223
58139,5408-98521,4707186
58140,5142-71229-GJ,30235
58141,02094-026,26247
58142,5159-78643,27540
58143,5122-102832,23300
58144,5098-89300,21556.2
58145,5297-80900,22500
58146,5105-51047,42948.5
58147,02030-056,113448
58148,5191-72910,545287
58149,5138-59306,19730
58150,5138-82057,25343
58151,02158-017,127936
58152,02030-153,41600
58153,5098-82683,20141.71
58154,5171-49214,15900
58155,5293-71723,26404
58156,5170-96275,24640
58157,5159-70108,45900
58158,02006-007,27700
58159,28799-11,170000
58160,5297-85472,39109.2
58161,5292-48805,42510
58162,5114-63838,45885
58163,5159-101204,16686.18
58164,5209-75330YY,16300
58165,5178-66601,22050
58166,5159-79490,74970
58167,02018-049,29171
58168,67950,53945.19
58169,5400-97605,17265.6
58170,5156-61159,34980
58171,5347-71995,14795.55
58172,5293-81367-GJ,25670
58173,5153-72360,24505
58174,5105-47131,42264.34
58175,5159-66879,52693.2
58176,5297-94046,69395.74
58177,5159-89070,19028.1
58178,5121-69772,33592
58179,5245-97336,29282.5
58180,5247-99144,23745
58181,5105-52026,34940.63
58182,5098-86953,17052
58183,28806-4,617629.45
58184,5153-69091,16040
58185,5100-83969,22500
58186,5171-60321,35000
58187,5159-64237,37714.5
58188,02061-090,37890
58189,5348-84277,20200
58190,5153-75370,14137.5
58191,5273-97619,21599.2
58192,5142-54228,45847
58193,5292-62641,61404.8
58194,5137-51397,44638
58195,5137-44371,22100
58196,02001-010,77354.56
58197,5171-60326,26000
58198,68450,27990
58199,5173-73417,21818
58200,5156-63146,34830
58201,5105-68019,28492.78
58202,5247-59369,28202.5
58203,5159-71657,42840
58204,5321-76429,30253.6
58205,5247-93496,16740
58206,5292-38188,25890
58207,5165-49668,40548
58208,5292-38121,50250
58209,5225-73648,25430
58210,5293-67736-GJ,16926
58211,5159-77700,71910
58212,5098-90725,29700
58213,5159-61642,57375
58214,5247-80995,25110
58215,5336-69358-GJ,31350
58216,5389-98995,19185
58217,37872-1,4216240
58218,5297-96822,70683.6
58219,02008-004,21704
58220,5275-66756,140400
58221,5138-77120,18383
58222,5098-90995,17868.79
58223,68327,19139.4
58224,02018-039,28471
58225,5098-87295,37537.5
58226,5297-91182,19836
58227,5292-58925,40200
58228,5098-83565,12863.74
58229,5153-61869,30160
58230,5138-50016,19000
58231,5153-54684,27650
58232,5171-99609,17838.08
58233,5137-46551,88400
58234,5181-57553-GJ,41028
58235,5121-68381,79448
58236,67799,38847.6
58237,5140-81654-GJ,19215
58238,5330-78382,51233
58239,5377-67621,48669.8
58240,5098-85759,17159.5
58241,5229-79156,33105.6
58242,68430,43852.29
58243,5159-68835,36720
58244,5137-86924,43635
58245,5138-84316-GJ,24764
58246,49813B-1,456542
58247,5138-70168,7540
58248,5245-98577,15470
58249,68505,21283.6
58250,5125-62538,59200
58251,5159-54253,15300
58252,5347-100544,10675.6
58253,5292-54863,60955
58254,5159-69224,56610
58255,5336-68387,15587
58256,5363-92023,32911
58257,5401-47794,334316.4
58258,5293-62124-GJ,39130
58259,5247-71757,30700.8
58260,5247-61763,166762
58261,5153-63799,21243
58262,66073,33201
58263,5159-53656,34425
58264,5171-50583,19080
58265,5114-54503,33600
58266,5336-102829,32490
58267,5293-95766,41737.5
58268,5297-84867,81679.27
58269,5247-86521,72440
58270,5196-70428-GJ,22770
58271,48684,17108
58272,69076,13291.2
58273,68467,54487.2
58274,5411-102724,41799.9
58275,5138-56013,28756
58276,5293-70055-GJ,24375
58277,5149-95805-GJ,49500
58278,5347-83047,26371.8
58279,5379-99817,29127.15
58280,5162-46867,39657
58281,5297-71553,41202
58282,5297-97079,34335.01
58283,5122-86961,67574.4
58284,5297-102289,24799.69
58285,5293-79581,28584.25
58286,5292-65080,58598.4
58287,5153-57738,18762.5
58288,68964,27500
58289,02042-011,30000
58290,5292-56531,66455
58291,5181-89669-GJ,35837.55
58292,5159-79483,52020
58293,5293-97037,26772
58294,5138-80511,14687
58295,5427-99850,26160
58296,67896,12243
58297,02030-154,68040
58298,5098-87277,33924.5
58299,5400-101489,30214.8
58300,5273-93945,35610.18
58301,5118-43737,33150
58302,5247-73573,23233.2
58303,5297-89708,69936.03
58304,5336-99443,91485
58305,5352-88632,25516.55
58306,5105-46256,48031.88
58307,5273-89782,34008
58308,02006-024,73800
58309,5114-67303,21250
58310,66053,38830.95
58311,5324-90832,14560
58312,5347-102753,13900.32
58313,5156-62764,28050
58314,69152,29900
58315,5373-96396,46512
58316,5330-101456,31446
58317,5159-101930,23638.76
58318,02036-006-1,57600
58319,5140-64335-GJ,24750
58320,5171-99429,26390
58321,5293-78018,19785.96
58322,5128-49035-GJ,36288
58323,5138-99776,16994
58324,5159-84208,29274
58325,5388-87991,18000.06
58326,02030-080,45455
58327,5245-98399,26520
58328,5336-101089,23800
58329,5153-71998,24034
58330,5098-87076,16900
58331,5229-76647-GJ,16947.2
58332,68588,33386.2
58333,5142-73595-GJ,29989
58334,68746,29667
58335,5247-65318,28382
58336,5138-88759,15193
58337,5253-39604,815221.81
58338,5105-51185,32360
58339,5098-86229,19327.5
58340,5098-89605,23486.55
58341,02061-089,37650
58342,02005-054,19765
58343,66024,16402
58344,5098-82740,13034.55
58345,5159-72021,30600
58346,5253-40338,241579.2
58347,67818,33480
58348,5209-58497,28722.4
58349,5293-48817,33625
58350,5293-76506-GJ,29663.15
58351,5292-42961,59850
58352,5104-42514,19437.5
58353,5292-53878,111897
58354,5425-99456,23020.1
58355,5098-86435,18217.85
58356,5156-58357-GJ,36780
58357,5165-62406,25260
58358,5159-101600,11124.12
58359,02001-020,33052.86
58360,5159-93195,11124.12
58361,5098-83392,29020
58362,5220-51554,15924
58363,5336-95657,16460
58364,5098-88328,12445
58365,5297-92257,44655
58366,02030-112-1,38400
58367,5153-59106,18762.5
58368,5153-62897,45055
58369,5159-61480,48450
58370,5397-96851,18690
58371,5153-59635,42412.5
58372,5171-72127,22485.11
58373,5098-83934,13319.35
58374,5427-102568-MI,127325
58375,68845,18718
58376,68710,19349.2
58377,02077-033,42437
58378,5098-90773,12450
58379,5209-67804,29568
58380,5159-62120,12441.45
58381,5171-59355,47700
58382,5104-42909,18500
58383,02095-027,40700
58384,5098-89400,27612.3
58385,5159-89072,21955.5
58386,5159-65347,20353.2
58387,5153-72486,36757.5
58388,5138-75431,28730
58389,5330-102693,31720
58390,02125-001,23200
58391,5149-50541,36100
58392,5409-87360,26410
58393,5137-46543,15470
58394,5245-98616,20272.5
58395,48722,41769.3
58396,5293-89623-GJ,26140
58397,5247-94225,25110
58398,5149-51054,33300
58399,68464,29074.5
58400,5159-90802,12514.64
58401,5159-80281,38056.2
58402,5166-50080,25159.94
58403,67809,11277
58404,5293-53707,24968
58405,5181-0013-Financing,42640
58406,5159-71658,38250
58407,02011-041,67000
58408,5293-88441,29233
58409,5194-77055-GJ,34776
58410,5098-94601,16313.87
58411,5171-100762,12212.2
58412,5159-67231,18360
58413,5159-77702,33660
58414,02012-002,28416
58415,5397-99878,27900
58416,5137-56414,35550
58417,5292-59422,34335
58418,5171-56200,20000
58419,68893,42642.85
58420,5200-0285-H-Financin,21286.53
58421,02022-005,29709.87
58422,5098-86981,19355.41
58423,5321-86574,39838.75
58424,5098-91096,21850
58425,5153-70301,30764
58426,33529-1,1153065
58427,5245-94230,17680
58428,5425-99925,14894.77
58429,02001-031,28342.3
58430,5121-65713-GJC,190800
58431,5297-85360,59350
58432,48717,25342
58433,5438-102299,28464
58434,5293-63784-GJ,29698.49
58435,5321-82201,22280
58436,5171-100727,27125.28
58437,5247-84076,29868
58438,68052,29822
58439,5320-69452,36271.2
58440,5137-82272,26560.8
58441,5159-84297,54230.09
58442,5105-59128,33500
58443,5247-68778,26338.76
58444,5171-61297,102816
58445,5417-101842,39800
58446,5293-58218-GJ,37000.5
58447,68058,13549
58448,5290-77137,34051.5
58449,5155-66789,60480
58450,5293-68433,29266
58451,5165-63283,23714.07
58452,5098-94143,17407.97
58453,5098-91229,23587.5
58454,68316,13396
58455,5281-93772A,4922930
58456,5218-76078,38301.9
58457,5411-99048,16709
58458,5292-60442,22474
58459,02015-015,53489
58460,5407-88828,260308.33
58461,49760A-1,5750000
58462,5321-69654,41152
58463,5293-58990,42110.45
58464,5322-76231,47455.2
58465,5100-70818,45700
58466,5352-87126,30069.6
58467,5159-48197,32818.5
58468,5140-70533-GJ,31680
58469,5181-91355-GJ,39808.8
58470,02005-007,45625
58471,5159-69218,32130
58472,5144-92963,32825
58473,5320-79535,7986.94
58474,5263-93093,25440
58475,02061-026,89311
58476,5171-101733,11875.5
58477,5137-93296,11669
58478,47444,28372
58479,5104-42519,22680
58480,68104,24590.16
58481,5400-102350,35152.5
58482,02030-102,63135
58483,5156-57276,30475
58484,5347-85937,64458.77
58485,50680,29110
58486,5292-46342,24755
58487,5098-83659,22851
58488,5379-93402,33419
58489,5297-93898,29430
58490,5105-56014,25299
58491,5098-85740,25153
58492,5159-70497,18360
58493,5293-67863-GJ,40061
58494,5245-97190,25415
58495,5159-93200-IRH,30591.33
58496,5153-66567,53950
58497,5293-68843-GJ,39990
58498,5105-51045,63587
58499,5153-81393,26040
58500,02006-036,86200
58501,5165-65783,26160
58502,5209-92782,51906
58503,5137-50365,41475
58504,5137-45042,54146
58505,5165-65335,47578
58506,5105-49609,52215
58507,5100-54109,27000
58508,5178-54273,33150
58509,5247-60211,32957.6
58510,02109-003,35995
58511,5171-50636,24380
58512,68308,27900
58513,24803B-1,1058062
58514,5140-82213-GJ,29295
58515,10752,18704.4
58516,02003-054-1,44349
58517,5173-47278,23000
58518,5159-101614,16905.74
58519,5292-54167,57820
58520,49782-1,1010782
58521,68545,58065
58522,5171-102278,60503.63
58523,02061-055,42080
58524,5129-97316,26823.02
58525,5293-100430,32690.72
58526,5209-73393,16808
58527,67883,40875.01
58528,5293-69898,27620
58529,5171-99607,20235.02
58530,5100-76245,27000
58531,5292-54880,50358
58532,5166-67195,25499.88
58533,5159-95948-IRH,20857.73
58534,5105-56444,40775
58535,5379-98610,33511
58536,68663,25727
58537,02095-018,160000
58538,5347-78134,12801.6
58539,0107456-1,5541426
58540,5297-66058,32046
58541,02042-006,38000
58542,68232,80451.9
58543,5159-101288,27663.93
58544,5181-67982-GJ-IRH,40846.7
58545,5159-71215,24480
58546,5292-56112,60590
58547,68470,25202.84
58548,5321-68216,23699.92
58549,5293-69285-GJ,33860.78
58550,5161-79477,68500
58551,5159-93788,29200.82
58552,5297-88362,42379.2
58553,48123,18100
58554,5336-69145-GJ,13695
58555,5245-94124,15470
58556,5293-86964,30886.5
58557,5098-88330,12128.92
58558,5159-50021,20196
58559,02018-006,20500
58560,5129-45447-GJ,32476
58561,5167-98166,4465164.8
58562,5452-102095,16382
58563,68132,46886.59
58564,02053-001-1,49303.76
58565,5159-100719,29200.82
58566,5247-80998,8370
58567,5149-55244-GJ,26169
58568,5194-67880-GJ-IRH,35437
58569,5297-94464,32035.11
58570,68130,52917
58571,5247-66678,18463.4
58572,5105-60249,36095
58573,02030-006,28880
58574,5247-101251,21767
58575,5122-99267,14180
58576,68416,20620.2
58577,5121-85617,44464.4
58578,5209-69232,18064
58579,5409-89057,27636
58580,5129-61679-GJ,17000.04
58581,5247-87722,10390
58582,02004-002,140600
58583,5273-87985,29675.25
58584,5397-100552,21150
58585,5321-0141-Financing,29735.05
58586,5165-99614,31964.25
58587,5392-90197,790000
58588,5229-80876,34499.65
58589,5122-65087-GJ,39200
58590,68931,24984.9
58591,5437-101769,32803.2
58592,5165-63431,55225.11
58593,48335,37350
58594,5443-102367,12929.35
58595,5379-97093,36761
58596,02117-007,43160
58597,5159-54245,31875
58598,65877,27900
58599,5159-66568,20808
58600,5138-53270,24648
58601,5098-86087,12775
58602,5098-88123,32100
58603,02001-024,35497.04
58604,5105-56026,46208.75
58605,5098-91127,11950
58606,5245-93389,22100
58607,5171-67524,33522.61
58608,5156-49068-GJ,39713.04
58609,5181-96145,51988
58610,69135,13600.08
58611,5137-47157,14365
58612,5137-49038,26520
58613,5159-71617,17564.4
58614,5321-73472,30769.2
58615,5137-49288,44818.8
58616,5138-94699,15269
58617,5137-92889,29040
58618,5159-89108,25029.27
58619,5230-77907,34759
58620,5293-88008,25689
58621,5297-67556,27468.5
58622,5166-47103,17500
58623,02158-016,34506
58624,48691,20975
58625,5293-75536-GJ,24003
58626,67986,50951.6
58627,5411-98603,21772
58628,5098-83835,17607.48
58629,5219-51764,41034
58630,5293-59768-GJ,45818
58631,5245-97555,24310
58632,24806-5,473514
58633,5166-58558,26024.94
58634,5129-57312-GJ,28224
58635,5105-45743,34402
58636,5159-52291,19507.5
58637,5347-75280,31919.58
58638,5122-51509,17928
58639,02094-023,42084
58640,5159-57079,40800
58641,5137-60889,13195
58642,5137-90747,27825.6
58643,5159-65033,24709.5
58644,5138-58624-GJ,26744
58645,5336-97415,23300
58646,02158-010,41500
58647,5137-94904,16156.8
58648,5159-53427,14025
58649,5400-98024,25072.5
58650,5122-61844-GJ,27240
58651,5297-101622,31714
58652,02117-018,27916.36
58653,5138-75425,49496
58654,5098-96163,12084.01
58655,5165-51402,28723.06
58656,5122-87219,19650
58657,68823,8601
58658,5293-90676,26232.25
58659,5297-101735,29760.28
58660,23501-4,740969.65
58661,5137-50919,31935.75
58662,5194-89083-GJ,43874
58663,5129-47812,1270912.5
58664,5153-68073,32572.8
58665,5159-60907,35113.5
58666,02030-050,41080
58667,5138-56770-GJ,23152
58668,35721-1,153720
58669,5292-57715,63520
58670,5160-100390,58065
58671,5159-92066,29200.82
58672,5125-100673,24200
58673,5117-53867,37868
58674,5321-0253-H-Financin,29746
58675,5196-52663-GJ,39350
58676,02056-005,52685.87
58677,02009-001,25900
58678,5321-84229,47423.6
58679,5159-100983,63963.69
58680,31289A-1,6235000
58681,5153-55995,79000
58682,65272,22192
58683,5321-93319,26194.94
58684,5245-97956,17680.51
