Project Cost,Contractor,Project Status
26565,SunRun Inc.,Complete
25890,SunPower Capital LLC,Complete
34930.89,Solar Maximum LLC,Complete
40198,NRG Residential Solar Solutions,Complete
19420.8,NRG Residential Solar Solutions,Complete
19146,SunRun Inc.,Complete
19938,SunRun Inc.,Complete
10350.1,Frey Electric Construction Co.,Complete
32927,Tag Mechanical,Complete
22646.25,NRG Residential Solar Solutions,Complete
74958,Tesla Energy Operations Inc.,Complete
19812,SunRun Inc.,Complete
179400,Trinity Solar (dba for Trinity Heating and Air),Complete
9672,Tesla Energy Operations Inc.,Complete
21058,SunRun Inc.,Complete
25281,SunRun Inc.,Complete
43948,SunPower Capital LLC,Complete
28008,SunRun Inc.,Complete
29550,NRG Residential Solar Solutions,Complete
28468,SunPower Capital LLC,Complete
18795,SunRun Inc.,Complete
17153.8,NRG Residential Solar Solutions,Complete
48114.86,Trinity Solar (dba for Trinity Heating and Air),Complete
16874,NRG Residential Solar Solutions,Complete
45698,American Solar Partners,Complete
25420.5,NRG Residential Solar Solutions,Complete
37819,SunPower Capital LLC,Complete
25066.6,SunRun Inc.,Complete
21297,SunPower Capital LLC,Complete
31880,NRG Residential Solar Solutions,Complete
15300,SunRun Inc.,Complete
26220,SunRun Inc.,Complete
34503,Tesla Energy Operations Inc.,Complete
50707.64,NRG Residential Solar Solutions,Complete
26082,NRG Residential Solar Solutions,Complete
39500,SunPower Capital LLC,Complete
32671.5,NRG Residential Solar Solutions,Complete
26900,SunPower Capital LLC,Complete
67662.8,Promenade Capital Corp.,Complete
31490,Hudson Solar,Complete
31373,Hudson Solar,Complete
41106,Tesla Energy Operations Inc.,Complete
67000,Infinity Solar Systems,Complete
30532.62,NRG Residential Solar Solutions,Complete
43046,"Lotus Energy, Inc.",Complete
25325,SunPower Capital LLC,Complete
23000,"Autonomous Energies, LLC",Complete
24077,SunRun Inc.,Complete
37605,SunPower Capital LLC,Complete
19588.25,NRG Residential Solar Solutions,Complete
27625,Solar Home NJ,Complete
48658,SunPower Capital LLC,Complete
27413.1,SunRun Inc.,Complete
34856,Freedom Solar,Complete
33200,NRG Residential Solar Solutions,Complete
30065,NRG Residential Solar Solutions,Complete
32500,"SunPower SolarProgram I, LLC",Complete
34200.12,SunRun Inc.,Complete
24495.7,Hudson Solar,Complete
17581.4,NRG Residential Solar Solutions,Complete
22620,SunPower Capital LLC,Complete
27250,NRG Residential Solar Solutions,Complete
18650,NRG Residential Solar Solutions,Complete
16065,Trinity Solar (dba for Trinity Heating and Air),Complete
33258,Hudson Solar,Complete
38733,SunPower Capital LLC,Complete
18792,SunRun Inc.,Complete
27236.25,NRG Residential Solar Solutions,Complete
52254.6,Infinity Solar Systems,Complete
42605,SunPower Capital LLC,Complete
47520,Sun Energy Inc. (dba Sun Energy Group),Complete
28729,SunRun Inc.,Complete
34136,American Solar Partners,Complete
30225,Tesla Energy Operations Inc.,Complete
64867,Hudson Solar,Complete
72590,"Taitem Engineering, PC",Complete
9909.05,SunRun Inc.,Complete
18269.8,NRG Residential Solar Solutions,Complete
39268,SunPower Capital LLC,Complete
53787,QwikSolar,Complete
23018.39,NRG Residential Solar Solutions,Complete
58156,Premier Solar Solutions,Complete
11262,"Taitem Engineering, PC",Complete
55092.59,"Pyrus Energy, Inc.",Complete
14084.37,NRG Residential Solar Solutions,Complete
23680.92,NRG Residential Solar Solutions,Complete
32130,Trinity Solar (dba for Trinity Heating and Air),Complete
52100,SunRun Inc.,Complete
44400,NRG Residential Solar Solutions,Complete
82404,SunPower Capital LLC,Complete
37335,SunPower Capital LLC,Complete
17200,SunRun Inc.,Complete
45654.12,QwikSolar,Complete
26683,SunPower Capital LLC,Complete
36114,SunPower Capital LLC,Complete
37485,SunRun Inc.,Complete
26624.8,Solar Energy World NJ LLC,Complete
28487,SunPower Capital LLC,Complete
20410,NRG Residential Solar Solutions,Complete
16829.15,NRG Residential Solar Solutions,Complete
34952,SunPower Capital LLC,Complete
39260,Hudson Solar,Complete
36287.08,NRG Residential Solar Solutions,Complete
15065,SunRun Inc.,Complete
38500,SunPower Capital LLC,Complete
10146,SunRun Inc.,Complete
34679.6,NRG Residential Solar Solutions,Complete
37579,"Lotus Energy, Inc.",Complete
20814.39,NRG Residential Solar Solutions,Complete
14998.19,NRG Residential Solar Solutions,Complete
33212,"Lotus Energy, Inc.",Complete
50149.44,SunPower Capital LLC,Complete
29650,American Solar Partners,Complete
18409,Sungevity Development LLC,Complete
25389,Tesla Energy Operations Inc.,Complete
19965.5,NRG Residential Solar Solutions,Complete
27807,Tesla Energy Operations Inc.,Complete
85235.05,QwikSolar,Complete
31588.2,SunPower Capital LLC,Complete
26310,Hudson Solar,Complete
66000,Niagara Wind and Solar,Complete
20916,SunRun Inc.,Complete
38662,Solar Maximum LLC,Complete
12285.66,NRG Residential Solar Solutions,Complete
29239,Sungevity Development LLC,Complete
17010,SunRun Inc.,Complete
34953.73,NRG Residential Solar Solutions,Complete
34335,"SunPower SolarProgram I, LLC",Complete
36200,SunPower Capital LLC,Complete
39240,SunPower Capital LLC,Complete
21189.6,NRG Residential Solar Solutions,Complete
44633.99,QwikSolar,Complete
129952.01,SunPower Capital LLC,Complete
68000,SunPower Capital LLC,Complete
30615,Sungevity Development LLC,Complete
30574.5,SunPower Capital LLC,Complete
37000,"SunPower SolarProgram I, LLC",Complete
24724,SunRun Inc.,Complete
20556,SunRun Inc.,Complete
17617.6,NRG Residential Solar Solutions,Complete
21612.5,SunRun Inc.,Complete
37408,SunPower Capital LLC,Complete
16577.19,NRG Residential Solar Solutions,Complete
25512.75,NRG Residential Solar Solutions,Complete
97639,Hudson Solar,Complete
19592,SunRun Inc.,Complete
27000,SunPower Capital LLC,Complete
51084,NRG Residential Solar Solutions,Complete
37440.93,SunPower Capital LLC,Complete
41346,Hudson Solar,Complete
17512,NRG Residential Solar Solutions,Complete
28782,Tag Mechanical,Complete
99516,Hudson Solar,Complete
23166.26,NRG Residential Solar Solutions,Complete
34858.53,NRG Residential Solar Solutions,Complete
29631,Trinity Solar (dba for Trinity Heating and Air),Complete
20302.1,SunRun Inc.,Complete
15294.68,NRG Residential Solar Solutions,Complete
145594.8,QwikSolar,Complete
33065,SunPower Capital LLC,Complete
23310,SunRun Inc.,Complete
33759.43,NRG Residential Solar Solutions,Complete
47040,SunRun Inc.,Complete
659000,"Entersolar, LLC",Complete
35330,SunRun Inc.,Complete
16235,SunRun Inc.,Complete
24270,"Taitem Engineering, PC",Complete
44145,SunPower Capital LLC,Complete
53603,Hudson Solar,Complete
26250,SunRun Inc.,Complete
39506.4,NRG Residential Solar Solutions,Complete
22436,Quixotic Systems LLC,Complete
29746,SunRun Inc.,Complete
17871.7,NRG Residential Solar Solutions,Complete
19241.25,Hudson Solar,Complete
36610,SunPower Capital LLC,Complete
17037,SunRun Inc.,Complete
15020,"Taitem Engineering, PC",Complete
25800,American Solar Partners,Complete
8879.9,SunRun Installation Services Inc.,Complete
36842,SunRun Inc.,Complete
47838,SunPower Capital LLC,Complete
14285.84,NRG Residential Solar Solutions,Complete
15500,NRG Residential Solar Solutions,Complete
35286,SI Solar (dba for Ficazzola Consulting),Complete
35226.1,Sungevity Development LLC,Complete
9610.8,Frey Electric Construction Co.,Complete
11647,Hudson Solar,Complete
57682,SunPower Capital LLC,Complete
33000,Niagara Wind and Solar,Complete
13250,SunRun Inc.,Complete
36260.58,NRG Residential Solar Solutions,Complete
27468,SunPower Capital LLC,Complete
20720,SunRun Inc.,Complete
35210.7,NRG Residential Solar Solutions,Complete
11700,NRG Residential Solar Solutions,Complete
21120,NRG Residential Solar Solutions,Complete
24948,Trinity Solar (dba for Trinity Heating and Air),Complete
19300,Sun Energy Inc. (dba Sun Energy Group),Complete
56520,Sungevity Development LLC,Complete
45918,SunPower Capital LLC,Complete
19350,SunRun Inc.,Complete
28311.62,NRG Residential Solar Solutions,Complete
26630.45,NRG Residential Solar Solutions,Complete
13559,NRG Residential Solar Solutions,Complete
23416,Solar Windependence,Complete
10982,SunRun Inc.,Complete
20529,SunRun Inc.,Complete
45500,SunPower Capital LLC,Complete
19260.95,NRG Residential Solar Solutions,Complete
16687.4,SunRun Inc.,Complete
16123.5,NRG Residential Solar Solutions,Complete
44793,Hudson Solar,Complete
43209.81,NRG Residential Solar Solutions,Complete
21520,NRG Residential Solar Solutions,Complete
32323.2,Halco Renewable Energy (dba for Halcyon),Complete
41000,SunPower Capital LLC,Complete
27060,NRG Residential Solar Solutions,Complete
305094.25,Sol Power Associates,Complete
93650,SunPower Capital LLC,Complete
26910,SunRun Inc.,Complete
21498,"Taitem Engineering, PC",Complete
24667.5,NRG Residential Solar Solutions,Complete
27834,Lampros Solar,Complete
18480,NRG Residential Solar Solutions,Complete
18769,Infinity Solar Systems,Complete
32632,Hudson Solar,Complete
8234,SunRun Inc.,Complete
26503.24,Halco Renewable Energy (dba for Halcyon),Complete
28026.89,SunRun Inc.,Complete
20917,American Solar Partners,Complete
947250,U.S. Light Energy LLC,Complete
25660.8,SunRun Inc.,Complete
57094,SunPower Capital LLC,Complete
32476,NRG Residential Solar Solutions,Complete
23364,NRG Residential Solar Solutions,Complete
44940,American Solar Partners,Complete
19965.56,NRG Residential Solar Solutions,Complete
69273.88,Tesla Energy Operations Inc.,Complete
90090,QwikSolar,Complete
40200,Freedom Solar,Complete
33748,Infinity Solar Systems,Complete
32970,Sungevity Development LLC,Complete
25703,Hudson Solar,Complete
14525,SunRun Inc.,Complete
15600,SunPower Capital LLC,Complete
35223,SunRun Inc.,Complete
23640,Hudson Solar,Complete
16643.55,NRG Residential Solar Solutions,Complete
11220,Trinity Solar (dba for Trinity Heating and Air),Complete
14000,SunRun Inc.,Complete
33989.27,NRG Residential Solar Solutions,Complete
20807.5,NRG Residential Solar Solutions,Complete
33613.38,NRG Residential Solar Solutions,Complete
29347.81,NRG Residential Solar Solutions,Complete
28004,SunRun Inc.,Complete
32975,SunRun Inc.,Complete
49704,SunPower Capital LLC,Complete
17472,Solar Home NJ,Complete
16762.5,NRG Residential Solar Solutions,Complete
26150,NRG Residential Solar Solutions,Complete
31847.48,NRG Residential Solar Solutions,Complete
31762.5,NRG Residential Solar Solutions,Complete
23201.25,NRG Residential Solar Solutions,Complete
150098,"Lotus Energy, Inc.",Complete
31601,"Collegiate Builders, Inc.",Complete
23249.46,NRG Residential Solar Solutions,Complete
13532,NRG Residential Solar Solutions,Complete
17903.7,SunRun Inc.,Complete
16350,"SunPower SolarProgram I, LLC",Complete
27685,SunRun Inc.,Complete
59360,SunPower Capital LLC,Complete
15437,Hudson Solar,Complete
25226,SunRun Inc.,Complete
10838.8,Sungevity Development LLC,Complete
22972,Hudson Solar,Complete
41003.92,Hudson Solar,Complete
24472.5,NRG Residential Solar Solutions,Complete
21723,NRG Residential Solar Solutions,Complete
58481,SunPower Capital LLC,Complete
25746,SunRun Inc.,Complete
39957.6,NRG Residential Solar Solutions,Complete
19110,SunRun Inc.,Complete
36465,Trinity Solar (dba for Trinity Heating and Air),Complete
31960,SunRun Installation Services Inc.,Complete
15506,SunRun Inc.,Complete
22800,NRG Residential Solar Solutions,Complete
26397.6,NRG Residential Solar Solutions,Complete
47010,SunPower Capital LLC,Complete
20351,SunRun Inc.,Complete
14538.55,NRG Residential Solar Solutions,Complete
32643,Tesla Energy Operations Inc.,Complete
23835,SunRun Inc.,Complete
27551.19,Solar Maximum LLC,Complete
46635.5,SunPower Capital LLC,Complete
25456.86,NRG Residential Solar Solutions,Complete
13171.95,NRG Residential Solar Solutions,Complete
15563.31,NRG Residential Solar Solutions,Complete
55280,Freedom Solar,Complete
30800,Solar Home NJ,Complete
21134,SunRun Inc.,Complete
14717.85,NRG Residential Solar Solutions,Complete
32901.5,SunPower Capital LLC,Complete
14566,Trinity Solar (dba for Trinity Heating and Air),Complete
20500,SunRun Inc.,Complete
81355.31,QwikSolar,Complete
16065,NRG Residential Solar Solutions,Complete
30000,"Active Solar Development, LLC",Complete
18675,SunRun Inc.,Complete
41395.2,SunRun Inc.,Complete
38815,Infinity Solar Systems,Complete
26250,American Solar Partners,Complete
23501.4,NRG Residential Solar Solutions,Complete
52919.68,Tesla Energy Operations Inc.,Complete
6798,Halco Renewable Energy (dba for Halcyon),Complete
55614,Tesla Energy Operations Inc.,Complete
52990.9,Hudson Solar,Complete
28352.71,Trinity Solar (dba for Trinity Heating and Air),Complete
25086.19,SunRun Inc.,Complete
46340.35,Hudson Solar,Complete
43824,Tesla Energy Operations Inc.,Complete
33781,Sun Energy Inc. (dba Sun Energy Group),Complete
13834,SunRun Inc.,Complete
92925,SunPower Capital LLC,Complete
26420,NRG Residential Solar Solutions,Complete
48134.4,SunPower Capital LLC,Complete
31826.4,Solar States,Complete
8625,SunRun Inc.,Complete
35667,Hudson Solar,Complete
64413,SI Solar (dba for Ficazzola Consulting),Complete
12574,SunRun Inc.,Complete
34321.2,Sungevity Development LLC,Complete
34525,Isaac Heating HVACR,Complete
42088.8,Tesla Energy Operations Inc.,Complete
13896.8,NRG Residential Solar Solutions,Complete
28045.11,NRG Residential Solar Solutions,Complete
25920,American Solar Partners,Complete
39740,SunPower Capital LLC,Complete
16755.2,NRG Residential Solar Solutions,Complete
23091,SunRun Inc.,Complete
57000,SunPower Capital LLC,Complete
12300,SunRun Inc.,Complete
36575,SunRun Inc.,Complete
31434,Tesla Energy Operations Inc.,Complete
13146.44,NRG Residential Solar Solutions,Complete
52819,"Lotus Energy, Inc.",Complete
19470,NRG Residential Solar Solutions,Complete
43526,SunPower Capital LLC,Complete
24645,Tesla Energy Operations Inc.,Complete
43850,SunPower Capital LLC,Complete
50674,Hudson Solar,Complete
63765,SunPower Capital LLC,Complete
18050,SunRun Inc.,Complete
18575.4,NRG Residential Solar Solutions,Complete
56413,Hudson Solar,Complete
23335,SunRun Inc.,Complete
39470,SunPower Capital LLC,Complete
20950,NRG Residential Solar Solutions,Complete
25660.8,NRG Residential Solar Solutions,Complete
52280,SunPower Capital LLC,Complete
11689,SunRun Inc.,Complete
9610.8,Frey Electric Construction Co.,Complete
35700,"Active Solar Development, LLC",Complete
76900,SunPower Capital LLC,Complete
23570.26,"EcoMen Solar, LLC",Complete
23363.2,Sungevity Development LLC,Complete
20065.59,SunRun Inc.,Complete
26325,Freedom Solar,Complete
18262.75,NRG Residential Solar Solutions,Complete
41896.5,Tesla Energy Operations Inc.,Complete
32900,SunRun Inc.,Complete
34881.6,SunRun Inc.,Complete
30940,"Active Solar Development, LLC",Complete
19846.8,NRG Residential Solar Solutions,Complete
12979.05,NRG Residential Solar Solutions,Complete
21205.8,NRG Residential Solar Solutions,Complete
65595,SunPower Capital LLC,Complete
7329,SunRun Inc.,Complete
18045,SunRun Inc.,Complete
14250,SunRun Installation Services Inc.,Complete
20553,Tesla Energy Operations Inc.,Complete
74574,"Lotus Energy, Inc.",Complete
24797.85,NRG Residential Solar Solutions,Complete
19313.69,Trinity Solar (dba for Trinity Heating and Air),Complete
12533.99,SunRun Inc.,Complete
74940,SunPower Capital LLC,Complete
25145.9,SunRun Inc.,Complete
13593,SunRun Inc.,Complete
38259,"Taitem Engineering, PC",Complete
53320,SunPower Capital LLC,Complete
17282,SunRun Inc.,Complete
14663,SunRun Inc.,Complete
39240,SunPower Capital LLC,Complete
105849,SunPower Capital LLC,Complete
25657.5,NRG Residential Solar Solutions,Complete
28650,American Solar Partners,Complete
20476.8,NRG Residential Solar Solutions,Complete
30225,Tesla Energy Operations Inc.,Complete
21441.75,NRG Residential Solar Solutions,Complete
22741,Sungevity Development LLC,Complete
35700,Trinity Solar (dba for Trinity Heating and Air),Complete
31609.2,Tesla Energy Operations Inc.,Complete
17739,SunRun Inc.,Complete
359700,"Bright Power, Inc.",Complete
18745.8,NRG Residential Solar Solutions,Complete
18418.48,NRG Residential Solar Solutions,Complete
28700,SunRun Inc.,Complete
45250,American Solar Partners,Complete
34335,SunPower Capital LLC,Complete
18192.22,NRG Residential Solar Solutions,Complete
47400,SunPower Capital LLC,Complete
232050,Solar Energy LLC,Complete
21505,SunRun Inc.,Complete
20964,SunRun Inc.,Complete
34445,"Taitem Engineering, PC",Complete
61187.5,NRG Residential Solar Solutions,Complete
17976,SunRun Inc.,Complete
16978,SunRun Inc.,Complete
34335,"SunPower SolarProgram I, LLC",Complete
15805.57,NRG Residential Solar Solutions,Complete
28200,SunRun Inc.,Complete
22264,NRG Residential Solar Solutions,Complete
37278,SunPower Capital LLC,Complete
46541,SunPower Capital LLC,Complete
22153,SunRun Inc.,Complete
51500,Encon Heating and Air (dba Environmental Control Inc.),Complete
13650,American Solar Partners,Complete
21750,SunPower Capital LLC,Complete
17180,SunRun Inc.,Complete
45518,SunPower Capital LLC,Complete
30464,NRG Residential Solar Solutions,Complete
29221,SunRun Inc.,Complete
44249.7,SunPower Capital LLC,Complete
22873.5,NRG Residential Solar Solutions,Complete
83688.8,SunPower Capital LLC,Complete
37550,SunPower Capital LLC,Complete
11440,Trinity Solar (dba for Trinity Heating and Air),Complete
21952.57,NRG Residential Solar Solutions,Complete
22140.69,NRG Residential Solar Solutions,Complete
28250,American Solar Partners,Complete
35061,Tesla Energy Operations Inc.,Complete
45688,Hudson Solar,Complete
30100,SunRun Inc.,Complete
29485,Infinity Solar Systems,Complete
26044,SunPower Capital LLC,Complete
21778,SunRun Inc.,Complete
7554,SunRun Inc.,Complete
23036,SunRun Inc.,Complete
23095,SunRun Inc.,Complete
23219,NRG Residential Solar Solutions,Complete
34335,"SunPower SolarProgram I, LLC",Complete
9610.8,Frey Electric Construction Co.,Complete
21439,SunRun Inc.,Complete
31500,American Solar Partners,Complete
38913,QwikSolar,Complete
54432,Tag Mechanical,Complete
62130,SunPower Capital LLC,Complete
22498,SunRun Inc.,Complete
20397.5,NRG Residential Solar Solutions,Complete
15950,SunRun Inc.,Complete
16017.5,NRG Residential Solar Solutions,Complete
21333.51,NRG Residential Solar Solutions,Complete
39680,SunPower Capital LLC,Complete
55655.4,SunPower Capital LLC,Complete
28560,"Taitem Engineering, PC",Complete
23500,SunRun Inc.,Complete
10030.75,NRG Residential Solar Solutions,Complete
24185,NRG Residential Solar Solutions,Complete
18000,SunRun Inc.,Complete
32100,SunRun Inc.,Complete
30000,SunPower Capital LLC,Complete
22585,SunRun Inc.,Complete
31598,Sun Energy Inc. (dba Sun Energy Group),Complete
16552.63,Trinity Solar (dba for Trinity Heating and Air),Complete
42273.1,NRG Residential Solar Solutions,Complete
16488.06,Trinity Solar (dba for Trinity Heating and Air),Complete
35910,"Active Solar Development, LLC",Complete
39740,SunPower Capital LLC,Complete
26640,SunRun Inc.,Complete
19900,SunPower Capital LLC,Complete
47151,Tesla Energy Operations Inc.,Complete
34425,NRG Residential Solar Solutions,Complete
11445,SunRun Inc.,Complete
17656.88,NRG Residential Solar Solutions,Complete
41878.2,SunRun Inc.,Complete
25575,Tesla Energy Operations Inc.,Complete
20553,Tesla Energy Operations Inc.,Complete
68586,SunPower Capital LLC,Complete
18785,Sungevity Development LLC,Complete
28611,NRG Residential Solar Solutions,Complete
21240,SunRun Inc.,Complete
15078,SunRun Inc.,Complete
37544,SunRun Inc.,Complete
55655.4,SunPower Capital LLC,Complete
55836,NRG Residential Solar Solutions,Complete
46294,"SunPower SolarProgram I, LLC",Complete
23573,SunRun Inc.,Complete
20625,NRG Residential Solar Solutions,Complete
35590,SunPower Capital LLC,Complete
45305,Trinity Solar (dba for Trinity Heating and Air),Complete
21343.5,NRG Residential Solar Solutions,Complete
39269,SunPower Capital LLC,Complete
8827,SunRun Inc.,Complete
14552.89,NRG Residential Solar Solutions,Complete
16764,SunRun Inc.,Complete
29120,Freedom Solar,Complete
12007.64,GRID Alternatives,Complete
27000,Solar Home NJ,Complete
24755.6,NRG Residential Solar Solutions,Complete
124260,SunPower Capital LLC,Complete
53295,Sungevity Development LLC,Complete
29732.82,NRG Residential Solar Solutions,Complete
71208,SunPower Capital LLC,Complete
11456.4,NRG Residential Solar Solutions,Complete
17991.75,NRG Residential Solar Solutions,Complete
16319.76,NRG Residential Solar Solutions,Complete
28704,"Earthsponse, LLC",Complete
32895,SunPower Capital LLC,Complete
23000,SunRun Inc.,Complete
44164,"SunPower SolarProgram I, LLC",Complete
35741.5,SunPower Capital LLC,Complete
35021.7,SunPower Capital LLC,Complete
21250,NRG Residential Solar Solutions,Complete
18091,SunRun Inc.,Complete
28117,Hudson Solar,Complete
31237,Hudson Solar,Complete
89158,QwikSolar,Complete
16400,NRG Residential Solar Solutions,Complete
47759,Sungevity Development LLC,Complete
28050,NRG Residential Solar Solutions,Complete
10350.1,Frey Electric Construction Co.,Complete
36580.95,Sungevity Development LLC,Complete
34876.87,SunPower Capital LLC,Complete
14883.39,NRG Residential Solar Solutions,Complete
43200,Trinity Solar (dba for Trinity Heating and Air),Complete
22268.05,NRG Residential Solar Solutions,Complete
56488,"Collegiate Builders, Inc.",Complete
172840,Sunstream Energy LLC,Complete
23390,SunPower Capital LLC,Complete
37470,SunPower Capital LLC,Complete
37605,SunPower Capital LLC,Complete
18903.15,NRG Residential Solar Solutions,Complete
18039,SunRun Inc.,Complete
22480.62,NRG Residential Solar Solutions,Complete
42350,NRG Residential Solar Solutions,Complete
14700,American Solar Partners,Complete
73935,Tesla Energy Operations Inc.,Complete
42068.55,Infinity Solar Systems,Complete
25103.6,NRG Residential Solar Solutions,Complete
38847.6,Hudson Solar,Complete
37409,SunPower Capital LLC,Complete
14514.5,NRG Residential Solar Solutions,Complete
39168,NRG Residential Solar Solutions,Complete
14875,SunRun Inc.,Complete
21109,SunRun Inc.,Complete
168130,"SES Dominion, LLC",Complete
27720,SunRun Inc.,Complete
12874,SunRun Inc.,Complete
34335,SunPower Capital LLC,Complete
18401,SunRun Inc.,Complete
17184.5,NRG Residential Solar Solutions,Complete
43948,SunPower Capital LLC,Complete
38856,Hollitronics Energy Solutions,Complete
30213.71,SunPower Capital LLC,Complete
28579.8,SunPower Capital LLC,Complete
29605,SunRun Inc.,Complete
10515,NRG Residential Solar Solutions,Complete
10725,Freedom Solar,Complete
35700,SunPower Capital LLC,Complete
14787,Tesla Energy Operations Inc.,Complete
66500,SunPower Capital LLC,Complete
16278.96,NRG Residential Solar Solutions,Complete
33300.9,NRG Residential Solar Solutions,Complete
20458.96,NRG Residential Solar Solutions,Complete
16707.6,SunRun Inc.,Complete
91000,SunPower Capital LLC,Complete
17658,SunPower Capital LLC,Complete
32643,Tesla Energy Operations Inc.,Complete
28203,SunRun Inc.,Complete
61463.83,Halco Renewable Energy (dba for Halcyon),Complete
24360,Seed Renewables LLC,Complete
17082.64,NRG Residential Solar Solutions,Complete
23205,Sungevity Development LLC,Complete
22851,SunRun Inc.,Complete
13588,SunRun Inc.,Complete
57965,Quixotic Systems LLC,Complete
18458.09,NRG Residential Solar Solutions,Complete
21607.05,NRG Residential Solar Solutions,Complete
14540,"Taitem Engineering, PC",Complete
32970,Sungevity Development LLC,Complete
26055,"SunPower SolarProgram I, LLC",Complete
32508,Solar Home NJ,Complete
28537.6,SunRun Inc.,Complete
47376,Frey Electric Construction Co.,Complete
22536.8,SunRun Inc.,Complete
34950.53,NRG Residential Solar Solutions,Complete
28591.2,NRG Residential Solar Solutions,Complete
25571,SunRun Inc.,Complete
31930,SunPower Capital LLC,Complete
45125,SunPower Capital LLC,Complete
23602.8,NRG Residential Solar Solutions,Complete
47580,SunPower Capital LLC,Complete
59404.8,SunRun Inc.,Complete
10225,SunRun Inc.,Complete
33430.5,NRG Residential Solar Solutions,Complete
24034,SunPower Capital LLC,Complete
59116,SunRun Inc.,Complete
45373.93,SunPower Capital LLC,Complete
34485,Sungevity Development LLC,Complete
14677.47,NRG Residential Solar Solutions,Complete
26598,Tesla Energy Operations Inc.,Complete
30841,SunPower Capital LLC,Complete
59676,SunPower Capital LLC,Complete
45642.85,Hudson Solar,Complete
463182,Atlantean Solar,Complete
19153.44,Trinity Solar (dba for Trinity Heating and Air),Complete
24480,NRG Residential Solar Solutions,Complete
24180,SunRun Inc.,Complete
17624.36,Sungevity Development LLC,Complete
36170,SunPower Capital LLC,Complete
96500,Hudson Solar,Complete
26112,SunRun Inc.,Complete
21736,Trinity Solar (dba for Trinity Heating and Air),Complete
16740.15,NRG Residential Solar Solutions,Complete
17723.85,Hudson Solar,Complete
36820.66,NRG Residential Solar Solutions,Complete
45780,SunPower Capital LLC,Complete
23911.2,NRG Residential Solar Solutions,Complete
54630,"Taitem Engineering, PC",Complete
21060,SunRun Inc.,Complete
18314.22,NRG Residential Solar Solutions,Complete
208102,Freedom Solar,Complete
23869,Freedom Solar,Complete
53115,"Lotus Energy, Inc.",Complete
22310.2,NRG Residential Solar Solutions,Complete
36263.7,NRG Residential Solar Solutions,Complete
18200,NRG Residential Solar Solutions,Complete
105069,Hudson Solar,Complete
35197.61,NRG Residential Solar Solutions,Complete
18853,American Solar Partners,Complete
20874,Croton Energy Group,Complete
13988,SunRun Inc.,Complete
30800,Superior Heat Company LLC,Complete
83000,Infinity Solar Systems,Complete
15268,NRG Residential Solar Solutions,Complete
30430,SunPower Capital LLC,Complete
25281,SunRun Inc.,Complete
21348.6,NRG Residential Solar Solutions,Complete
14278,NRG Residential Solar Solutions,Complete
26940,American Solar Partners,Complete
16948.75,NRG Residential Solar Solutions,Complete
26650,Hudson Solar,Complete
34934,SunRun Inc.,Complete
42390,Sungevity Development LLC,Complete
33550,SunPower Capital LLC,Complete
15623,SunRun Inc.,Complete
15800,NRG Residential Solar Solutions,Complete
33145.19,SunRun Inc.,Complete
28728,"Active Solar Development, LLC",Complete
67130,SunPower Capital LLC,Complete
128184,Hudson Solar,Complete
15470,Trinity Solar (dba for Trinity Heating and Air),Complete
17715,SunRun Inc.,Complete
34580,Trinity Solar (dba for Trinity Heating and Air),Complete
37648,SunRun Inc.,Complete
59590,SunPower Capital LLC,Complete
51935,Sungevity Development LLC,Complete
24805,NRG Residential Solar Solutions,Complete
21762,Tesla Energy Operations Inc.,Complete
20406,SunRun Inc.,Complete
61220,SunPower Capital LLC,Complete
33880,NRG Residential Solar Solutions,Complete
24816,American Solar Partners,Complete
29838,SunRun Inc.,Complete
20609.1,NRG Residential Solar Solutions,Complete
33100,NRG Residential Solar Solutions,Complete
22404,SunPower Capital LLC,Complete
15515.5,NRG Residential Solar Solutions,Complete
26391.09,NRG Residential Solar Solutions,Complete
20196,NRG Residential Solar Solutions,Complete
23700.6,NRG Residential Solar Solutions,Complete
139779,QwikSolar,Complete
28252,SunPower Capital LLC,Complete
24721,SunPower Capital LLC,Complete
24852,"Taitem Engineering, PC",Complete
33412.5,SunRun Inc.,Complete
36845,SunPower Capital LLC,Complete
17250,NRG Residential Solar Solutions,Complete
14288.2,NRG Residential Solar Solutions,Complete
34200,SunRun Inc.,Complete
19136,NRG Residential Solar Solutions,Complete
47088,SunPower Capital LLC,Complete
23837,NRG Residential Solar Solutions,Complete
27744,NRG Residential Solar Solutions,Complete
48175,NRG Residential Solar Solutions,Complete
22251,SunRun Inc.,Complete
18759,SunRun Inc.,Complete
41659,SunPower Capital LLC,Complete
126000,IPPsolar LLC (formerly Blueland LLC),Complete
23509,SunRun Inc.,Complete
30817.8,NRG Residential Solar Solutions,Complete
32900,SunRun Inc.,Complete
24960,Trinity Solar (dba for Trinity Heating and Air),Complete
15312.01,SunRun Inc.,Complete
71026,Hudson Solar,Complete
35353.5,SunRun Inc.,Complete
38614,Hudson Solar,Complete
21889,SunPower Capital LLC,Complete
72285,Hudson Solar,Complete
12512.5,NRG Residential Solar Solutions,Complete
41332,American Solar Partners,Complete
28832,"Lotus Energy, Inc.",Complete
39310.83,SunPower Capital LLC,Complete
17443.99,NRG Residential Solar Solutions,Complete
37736,"Collegiate Builders, Inc.",Complete
15724,SunRun Inc.,Complete
