Project Number,$Incentive
4953-54698,7652
4968-79115,4680
4872-32022,9800
5030-32900,9800
4944-100921,2480
4944-96814,3300
4944-96301,2014
4882-63267,8012
4758-63125-GJ,7140
4944-69094,7169
5023-59008,6324
4992-38206,13099
5051-51240,1458
5023-49336,2980
5023-47961,4235
4944-87338,2208
4724-27525,10500
4944-78186,1265
4864-51302,13244
4944-80440,2805
4704-101228,2439
4968-89121,822
4953-33056,9800
5023-50693,5382
5023-43907,4590
4941-38037,3960
4944-93051,5280
4864-98496,3532
4992-97687,1936
5030-37587,8250
4944-95611,2226
4953-44217,8656
5030-32881,8750
4988-35804,8927
4704-99908,2920
5030-37537,6900
4968-61907,2685
4726-28683,10300.5
4947-66898-GJ,8736
4944-67503,7462
5066-59480,2080
5023-58096,4635
5030-36209,8338
4864-87679,7259
4882-79949,7652
5048-43358,2470
4968-84569,1456
5098-67782,1224
4814-101496,3080
4718-32306,8736
5098-79193,1980
4758-99410,1824
5030-38492,8470
4944-53594,4268
5023-68684,7755
4953-34973,7411
5023-52044,7623
5098-79018,6463
4944-89711,972
5042-89959,1188
4943-44208,12480
4947-66057-GJ,9828
4708-47417,6540
4704-101112,3640
5034-47072,3645
4809-85839,4690
4742-67843-GJ,2562
4976-87271,6400
5066-79802,2289
4758-61217,13505
4944-49641,6318
4944-73414,1234
4731-28619,28200
4944-86228,2564
4978-51941,5049
4736-41101,20000
4704-100580,1872
4758-33991,11130
5030-37338,5135
4882-45559,14061
4947-47270,12600
4745-83365,2170
5023-64517,7140
4943-47419-GJ,3380
4944-77317,2743
4736-76046,7056
4944-75252,3640
4708-49548,4709
4882-65040,7050
4814-79608,3175
4944-100073,2120
4976-53565,5952
4758-42071-GJ,10175
5066-66797-GJ,10556
5098-63719,864
4941-33924,9072
5075-101927,6773
5023-71284,1658
5048-39551,16000
5098-60739,1931
4718-34030,9800
5023-64048,2342
4830-61943,7560
4704-101831,2228
4944-99437,1855
5098-65263,1040
5066-94383,3168
5075-47439,11427
4718-40480,4590
4704-100242,3241
4953-57016,5592
4978-89200,1808
4968-72124,1572
4741-37508,3887
5040-38155,7015
4758-40236,15900
5098-79862,2352
5023-51371,4542
5097-66481-GJ,3990
5066-41199,3570
5098-53933,2643
4947-51699,10080
4758-31453,10500
4864-97504,3401
4742-59011-GJ,4125
4836-76055,8208
4758-88745,3420
4976-101337,2176
4980-41501-GJ,4860
4704-101382,3775
4944-77940,3850
4953-34720,6409
5023-45689,6210
4864-77170,2616
4943-57464,3744
4941-40195,5750
5098-65521,1173
4944-94710,2010
5023-59584,5355
4944-83794,5775
5098-60400,2165
4743-29125,9375
5023-49981,2405
4864-87064,9418
4953-34274,7192
4944-59602,4521
4947-60034-GJ,7200
5098-77549,733
5056-43622,5831
4992-82984,1530
4944-87653,1736
4882-94265,7063
4864-66715,9843
4783-30315,10500
4978-50404,3456
4758-28285,10500
5023-61366,3749
4718-38568,7750
5023-58215,7548
4736-43885,4760
4944-77546,1375
5023-42752,4320
4947-31883,9800
4864-47817,9810
5023-59503,11405
5056-39092,4750
4882-35126,15477
5098-71348,1087
4968-62556,1764
4944-44151,8320
4944-80111,1100
5023-63669,4708
5023-56477,4376
4953-38189,6769
5098-79641,3300
4819-33740,7000
5098-55830,1989
4864-100285,3662
5098-78349,3777
5098-57137,1530
4968-61035,1530
4708-70277,6633
4944-88593,2115
4953-32940,7242
4980-47891-GJ,11000
5023-59171,4488
4944-78434,2475
5023-61147,3388
5038-51646,9123
4758-100442,1596
4758-75534-GJ,5544
4736-67458,3990
5023-41360,5000
4882-87665,5886
5098-70822,1406
5023-62052,4734
4830-80959,5130
5030-38153,6500
4937-97125,3192
5098-54994,2625
4944-83038,3389
4978-90571,3016
4758-41394,5232
5098-57565,1550
5098-76802,1815
4953-36858,8077
4882-48635,11118
4882-77328,5494
5048-43356,7500
4745-83981,2015
4786-42743,5000
4968-57120,2219
4830-57021,7420
5023-46540,9075
4978-101683,1768
5023-43419,6880
4941-35666,5850
5023-58881,2244
4745-83415,2170
5098-60896,1941
4758-64343,4347
4864-79176,5232
4736-49531-GJ,7273
4941-39079,4335
4943-66560,3276
4814-60110,4090
5098-63689,1094
4758-62121-GJ,2898
4943-77193,3465
4959-34195,7056
4771-28376,9750
5098-52327,1694
4864-92249,3924
5023-69239,1980
5071-40689,4400
4882-67942,6278
5023-41941,5135
4968-90152,998
4944-96849,4134
4944-47424,8320
4741-27680,9975
4953-38510,10529
4882-56823,8371
5023-69294,6246
4937-67309,1544
4968-92230,1866
5023-56034,4896
5023-71074,3105
5023-52818,3123
4968-84373-GJ,1300
4953-37994,6017
5023-49885,2649
5023-54923,4376
4953-41909,5232
4864-61351,3434
4704-101825,2336
4978-82075,2730
5098-79230,1094
4736-41553,8250
4794-87043,1523
5023-54361,7168
4944-99427,1712
4736-100072,1536
4758-40681,20700
4953-43251,10333
4994-40365,15000
4953-44263,9064
4953-38338,11650
5023-45695,5940
4704-101028,2704
4897-47266,6000
4953-33002,6860
4727-27340,10500
4704-101278,2652
5023-56902,8140
4797-48943,8175
5023-41410,4860
5056-43563,6573
5098-80387,1568
4795-31153,8256
4944-84401,1870
5098-63564,996
4944-36563,8619
4953-45030,10791
4944-94888,2120
5098-69725,1248
4953-35108,6454
5023-51070,4712
4786-44901,9972
4978-63536,572
4944-91033,2067
5098-53990,1992
5023-70678,3795
4968-51095,2565
5098-66469,581
4718-44194,5000
4758-101688,3055
4758-98942,65000
4743-33485,9450
4953-40746,6514
5030-36213,14625
4809-100134,2453
4814-79102,3213
4783-61666,13965
5029-55277,3662
5075-41464,18360
4704-99964,2021
4726-28664,10300.5
4944-82264,1015
4737-24965,7440
4944-87800,1375
4882-71149,17500
4758-87258,4988
5023-63335,4268
5023-55635,6936
5023-64852,2678
5023-53686,3984
5098-56865,1500
4944-95579,5565
4988-33266,9800
4833-30630,8415
4953-36539,10202
4882-75149,6409
5023-67820,4125
4977-34027,8232
4864-45942,6213
4882-88350,4010
4947-46225-GJ,10800
5098-76562,825
4882-55203,17698
5023-60754,6962
4944-68209,7098
5023-52380,4253
5023-55384,5176
5066-101105,4608
4968-53166,1122
4944-66566,3640
4968-96280,973
5023-51314,3583
4944-83905,2732
4944-93415,3657
5023-41149,4370
5048-41712,7224
5098-59677,2097
4944-75346,880
4704-100148,2129
5023-66149,2573
4864-64625,4807
5029-72296,4709
4944-102089,1855
4976-67625,4788
4884-37067,61445
4882-61693,12295
5098-73288,773
4882-70946,5723
4704-100802,2080
5081-89869-GJ,1960
4992-64197,3434
5023-58760,2468
4708-33582,4690
5023-50422,4482
4968-58570,2966
4882-38693,9777
4758-35925,7142
5023-55983,8772
5066-53045,5886
4874-62973,2747
4941-39342,5500
4944-92847,1484
5023-57537,3660
4745-84015,2015
4758-30745,10213
5023-65447,1874
4944-75322,1540
5098-76804,715
4743-33602,9100
4864-99958,2930
5048-42591,6000
4947-86052,8300
4953-39182,3924
4953-35622,5526
4953-37792,10529
5023-44265,7140
4944-89442,661
5023-50358,5382
4944-75295,2310
4944-76901,407
4758-43650,20900
4758-68524-GJ,3660
4848-33141,9800
4944-83286,1686
4736-82222-GJ,2223
4994-41780,6753
5098-66474,765
4953-36686,9777
4968-93872,1768
4882-34481,5951
5056-41951,7500
4758-40830-GJ,12100
4864-83899,5101
4864-93513,5232
4745-85522,2170
4736-56818,2415
4736-91696,2436
5098-49151,1952
4864-69182,6409
4743-28451,9923
4978-84956,642
4814-101759,3520
5098-54581,1641
4758-101687,8540
4840-71228-GJ,1200
4852-27407-1,45540
4864-79710,5559
4704-100653,2482
5093-41127,69392
5023-66664,2296
4814-63494,4829
5023-56362,5380
4807-45078,2450
4944-98636,1913
4713-28185,7920
4953-41001,11118
4704-100660,4160
4980-50223-GJ,3969
4944-89445,785
4704-101418,1370
4736-32140,9800
5023-52821,3812
5023-43899,5470
4758-102230,4172
5023-44706,5936
4947-58944,12960
5023-52823,3353
4736-31926,9800
4959-36364,4370
4704-101925,3120
5023-59615,6248
4944-36257,6452
4864-73601,3532
4978-86646,3380
5098-64820,1120
5030-39365,6500
5066-71564,4709
4868-90594,5494
4704-99906,2080
4968-102851,2481
4953-33506,9800
5098-81961,1650
4953-35229,10202
5029-61955,7403
4868-49016,16023
4953-38232,5641
4944-96025,1007
5098-81236,1086
4726-28645,6867
4704-102837,1660
4704-101639,3392
4980-44372-GJ,16800
4864-57184,8894
5023-50414,6053
5023-66655,4774
4944-87039,2475
5098-63551,1345
5051-87138,2970
4977-36646,7889
4978-35112,11400
5098-52273,2916
4944-90447,1370
5023-51364,2912
4708-56955,6624
4992-48301,5886
5023-51968,5641
4968-73501,1480
4864-30877,8820
4944-83854,7095
5098-56274,1301
5098-77364,3850
4976-67506,14364
5098-80065,1459
5023-71325,585
4882-99375,2982
4953-36790,5815
4953-38046,15005
4944-79619,5280
5023-71566,3471
4978-80146,1224
4830-55322,5936
5098-53359,3028
4882-36652,13603
5023-42380,3780
4704-102248,1107
4746-41614,5635
5023-62265,4725
5098-54848,1608
4944-68600,2730
5023-57991,4360
5023-69580,11197
5023-62274,5645
4718-30288,10500
4953-40604,3944
4745-83986,2015
5023-77307,2695
4864-48789,4709
4953-44044,7194
5023-52793,9194
5023-64060,3570
5023-53667,5382
4968-0171-Financing,0
5023-42989,3780
4809-101964,2289
4758-66857-GJ,5880
4953-33309,7350
4941-35932,7188
5023-43187,2503
5066-88963,2616
5098-54636,3960
4864-66075,5494
4736-45719-GJ,11200
4968-71611-GJ,1291
4953-39708,5559
5056-44873,5204
4944-87668,2385
4736-42025,7425
4944-97621,6519
5098-59588,1989
5097-98727,3360
5098-81773,3812
5023-47118,2980
4953-34099,9800
4978-84664,1599
4880-31091,7848
4999-98382,2289
4704-102004,2504
5098-66779,1454
5098-53567,3388
4953-54905,4415
4864-85491,4709
4978-91358,1555
4944-79735,5702
4953-38157,18803
5023-47281,8215
4944-93821,1908
5030-40214,5293
4758-57034,2160
5069-66431,850255.54
4758-49371-GJ,8694
4944-97586,3180
4953-46230,7521
4976-73603-GJ,10773
4944-38320,7650
4704-100454,3120
4864-82653,5069
4944-90876,2000
4758-43521,4950
4758-30478,10301
4980-53148-GJ,22050
5048-42315,3008
4758-39207,6095
4947-76467,5406
5097-81837,7695
4944-57355,4190
4944-64134,2730
4944-70175,1347
4944-88859,2862
5098-61552,2018
4864-78460,4578
4736-59352-GJ,4704
5023-56413,4488
5098-73293,1373
4746-30000,10500
5097-72037-GJ,4104
4745-83644,2170
4819-31237,7875
4976-83355,8550
5030-38673,6250
5023-71082,2849
4882-62088,14650
4968-54419,1845
4944-94532,795
4704-101427,1352
4746-44762,9000
4953-43588,10137
5023-45222,3980
4864-55592,4186
4944-91446,1364
5023-70598,3353
4864-86290,4578
5023-68981,3825
4726-28918,8829
4944-79238,1709
4944-57015,1310
4704-102117,3569
4704-102674,936
4876-69952,8633
4968-95599,2442
4968-86409-IRH,811
4944-100510,2480
4978-84615,1347
4968-62169,2864
5023-69789,1606
4953-36464,11853
5023-68189,5332
4743-30535,10500
4758-55514-GJ,4032
4944-94027,695
4741-29940,2625
4943-84405,1815
5023-44936,4590
4758-102231,3420
4944-96132,2544
4953-38332,6017
5098-81148,660
4758-73336-GJ,4392
4995-34640,10530
4882-38694,13538
4968-76633-GJ,2184
4718-38228,5635
4758-83226,2850
4758-91101,2484
5023-39763,6885
4864-88650,3924
4801-26935,11760
5023-70334,3024
4718-28563,7200
4980-57951,8064
4941-36432,6500
4968-68414-GJ,781
5023-66939,4774
4977-39330,25000
4943-80704,2970
4864-62246,6409
4743-32740,8400
4864-42794,7848
5098-52431,1586
4864-57564,9156
5023-56157,3876
5023-50858,9194
4941-36130,6170
5023-49167,8470
5030-39167,7000
4864-35408,17854
4851-31034,7455
5023-67345,3110
4826-40743,6600
5098-77566,1100
4941-35441,9100
4758-33420,9800
4953-33742,9614
5066-85808,3924
4704-101552,2728
4978-71417,281
4944-91161,4134
4947-94674,8480
5056-40146,4225
4728-28916,10500
4944-81164,1346
5023-50043,5445
5066-88986,2880
4944-94255,2763
5098-53204,1304
4874-84411,2158
4953-45345,5101
5023-47115,4980
4741-41696,3000
5023-60192,4708
4736-52463-GJ,3960
5023-63853,3308
4745-83359,2170
5098-61363,1454
4736-38802,12000
4953-36552,16154
4944-75388,1401
4814-38315,7059
4814-90613,2948
4864-89028,5232
5023-45351,8670
4944-92123YY,824
5023-62405,5152
5098-51092,1788
4944-49554,8190
4992-66400,17500
5023-40659,5000
5009-39058,11130
4968-48119,2598
5023-58766,3672
4736-62751-GJ,2052
4706-33802,9800
4864-77977,3205
4941-38871,3570
4947-102031,5720
4944-101479,1855
5098-67788,1120
4944-61871,5278
4758-70521-GJ,2354
4953-36362,8927
5098-57460,2142
4944-68601,6006
4736-39363-GJ,11200
4944-43247,6500
5046-63527,6783
5030-34226,9800
4881-33615,7245
5023-60062,6205
4864-72111,3139
5023-40687,10000
4758-58743,6272
5030-40034,6750
4704-102494,1516
4718-36194,8600
5098-67490,2766
4704-99927,1387
4953-42547,8423
4758-100437,2850
5023-46639,4080
4978-47682,6399
5098-42305,8370
4976-53258,5022
4758-33905,8904
5030-35424,9750
4736-76575-GJ,6156
4944-70759,1820
4736-66672-GJ,7781
5098-80024,1992
4978-89438,1441
4758-45726,14388
4944-56576,4576
4944-96334,464
5023-77114,3105
5023-52697,9194
4944-64977,5278
4756-28457,7358
4809-76050,5628
4992-51695,6180
4982-33355,8575
4944-101770,2325
5098-52378,3184
4944-100486,3204
4944-87671,1733
5023-48909,5980
4944-101303,3323
4864-69304,3924
5098-52872,3388
4953-43111,10137
5098-53932,2690
4944-91859,5883
4758-65146-GJ,6720
4978-60742,3060
5023-68555,4836
4864-49269,5232
4978-49613,3300
5079-40877,83675
5023-65541,4106
4758-75401,5130
4944-96004,1537
5098-57262,2372
4953-46167,6540
5097-97126,2400
4708-75418,3200
5098-78534,770
5098-80329,2338
5023-69791,4785
4953-36862,6840
5023-41924,9180
4741-31524,3675
5098-54853,2388
4941-36462,5850
4745-83647,2170
4968-84902,561
4814-100087,4125
5023-41934,11416
4704-101423,2371
4944-87011,2970
5098-54588,1381
4944-94347,3392
5098-52271,1890
5097-76182,2280
4947-31882,9800
5023-42280,6250
5023-51977,3582
4874-48856,2747
4953-36849,4676
4746-43721,3685
4944-100859,3392
4976-42338-GJ,11550
4746-38266,5980
4953-43773,5886
4864-66072,4120
4953-52110,5592
4736-44671,11200
5042-89080,1242
4953-36451,14710
4944-82230,825
5023-58971,6956
5098-48265,4980
4943-64655-GJ,2548
4953-36423,5951
4944-100125,2215
4788-27376,9405
4947-51349,38880
5023-51029,2453
5023-59184,2652
4758-85764,5130
4864-101448,3139
4758-37778,79943
4864-42948,10464
4944-90214,1580
5098-53808,3388
4708-44466,5886
4968-86959,1310
4944-81121,990
5048-42070,6500
5023-70924,2140
4864-86292,4905
4944-83319,3259
5075-44014,11550
4944-65791,2002
5098-54982,1947
4729-33859,6678
4818-29766,10301
4758-66666-GJ,6272
4877-31725,5886
4809-89816,3752
4741-29928,3308
5098-78240,1931
4758-30558,10500
5023-55101,3582
5056-39882,8871
4953-52673,8240
5098-80794,10175
5098-78441,4950
5030-34811,9750
4708-26926,30240
5098-55540,1931
4745-84045,2015
4953-34967,14650
5023-64500,2608
5023-58957,5100
4864-49396,8829
4721-28961,6615
4953-38022,13162
4976-88623,2438
5023-45048,5940
4953-38323,6769
4944-102697,2641
4944-94280,2763
4976-95650,5850
5023-55412,2912
4743-33240,9100
5023-48318,8070
4758-61701-GJ,7371
4944-71885,898
5023-41942,7830
4944-93043,2061
4704-102902,2496
5038-44632,3924
4937-52859,9072
5023-52661,3812
4944-99534,2394
4953-36444,11554
4992-36366,12034
4944-94118,2544
4937-43108,21600
5048-41800,21750
4953-36857,6377
5023-65649,4998
4943-78859,3795
4882-73644,4054
5023-48068,11960
4953-35258,11053
4944-102343,2480
4758-83221,4988
4882-39694,4251
4944-88869,5088
5098-72475,1680
4864-35157,12110
4944-80723,1980
4944-67011,5278
5098-61318,1493
5023-78142,5583
5098-55838,923
5098-81160,1234
5023-57272,3876
4953-33172,9800
5023-67541,4284
4944-94747,2922
4999-76107,28548
4736-40186-GJ,9800
5048-44866,8085
4882-79739,4709
4704-100585,1560
4944-98380,1800
5002-35778,50050
5098-57426,1377
5098-79051,1165
4944-96845,3816
4736-52460-GJ,13851
5023-52819,4023
5023-66146,3704
4809-84124,2616
4953-44211,5121
4736-65489-GJ,1710
4992-87629,5886
5059-38402,93440
4758-49632-GJ,7763
4882-85891,5494
4953-38513,12034
4941-35545,8775
4944-78091,1100
4758-58939,4186
4953-38337,5641
4995-39384,8100
4704-102867,1406
4758-29354,8640
4794-72864,2268
4758-40292-GJ,10050
4736-100246,3600
4758-30248,8460
4758-55512-GJ,7776
4953-36543,10202
5098-67700,1515
4726-28663,10300.5
4992-100034,5232
4770-29804,10125
4874-70088,2535
5023-49793,9194
4943-82246,762
4737-28700,7200
4968-53327,2310
4944-91996,3021
5098-52929,3388
4944-92203,951
4758-88380,5115
4718-31645,9555
5023-51071,6712
4944-81136,820
5023-64058,2202
4968-84924,1215
4944-76694,3153
4745-83391,2170
4704-99901,4264
4976-102046,6800
4953-34305,9156
4944-84535,2200
5023-73161,3171
4992-86212,6867
4877-62696,1602
4874-40084,14388
4941-40657,4000
4830-72814,3564
4953-36494,13603
4882-96136,2747
4736-80020,1601
4968-64013,1193
4864-40492,6540
4737-28304,7200
4953-36199,6432
5023-44113,8330
5023-49400,6053
5023-66293,5096
4708-63407,6867
4882-72348,3049
5023-59342,4284
5023-61141,3181
4704-100163,1521
5023-50377,5153
4882-38034,7521
4882-35160,6501
4742-46294-GJ,5700
5023-40683,4000
4704-100651,1976
4726-29371,10301
4718-41687,4000
4729-33097,7420
4704-101700,1526
4978-84904,1201
4758-75468,2016
5023-55336,8172
4937-71645,4104
5023-76543,2632
4944-65872,2366
4944-90372,2703
4953-38477,4720
4941-34821,5850
4743-31264,10500
5023-76541,2274
5023-44006,5725
5048-41718,6760
4944-82267,1045
4978-102915,4160
4976-42706,13440
4978-61180,1815
4745-84040,2015
4809-101391,1608
5023-63763,4008
5023-39165,5768
5098-60373,1989
5023-54516,3184
4874-63181,2678
4818-29142,10500
5023-55493,10560
4794-93079,1354
4968-58346,2093
5023-52803,4950
4944-71991,5323
4809-76373,4690
4772-28711,10500
4718-46428,10000
4777-28327,36000
5023-64499,2499
4746-42267,7110
5098-77335,6584
4953-34949,9156
5098-78519,1980
4864-99970,2354
5023-44272,6960
4953-36683,7227
4882-44197,5886
5098-70773,781
4743-33612,7371
4758-32589,29120
5030-38519,7188
4882-36871,9352
4882-61451,5494
5098-53937,1694
4809-67306,2747
4976-88950,4800
4953-34716,5640
5098-57111,2295
4947-76328,5724
4947-60029-GJ,10080
4947-66732,7280
5074-80695,2244
4968-51338,2652
4704-101314,1284
5023-57512,8364
4944-83029,1980
5030-39059,3060
5023-57486,2791
4864-100950,3270
4944-77132,3049
4944-96423,2624
4972-34829,10937
4814-72822,7056
4953-43890,10298
4953-38371,5897
4704-101981,6466
5023-43414,5054
4704-102666,4388
5023-55707,3468
5098-62309,1683
4994-41078,6738
4736-67789-GJ,3420
4968-55842,1071
4941-37248,7000
4836-45662-GJ,4712
5023-46239,4980
5066-39406,2475
4944-48664,4160
5056-39098,3500
4704-102856,1484
5098-65406,612
4944-92849,1510
4944-94589-IRH,1113
4801-23262,61890
5097-78386,2280
4944-97615,3816
4786-39759,5750
5006-39550,5000
4944-91252,2340
4736-49922-GJ,2640
4823-28850,10500
4864-98549,3139
4953-37833,10387
5048-44863,5821
4944-49330,9100
5023-68979,4428
4978-78866,3276
5023-44712,5246
4941-36401,7475
4704-102899,2288
4864-52089,7063
4968-62177,1620
5023-71292,6270
4976-95707,5720
4944-80345,4290
4794-86935,2160
4864-36908,3384
5051-43624-GJ,6890
5098-64564,990
4704-100573,1768
4944-90634,3135
5054-38369,4600
4944-98433,1325
5023-53031,2601
4704-102159,2352
5023-45877,4470
4978-84978,624
5098-54001,2475
4953-41869,9156
4809-97645,3924
4704-99951,1423
5023-62827,5380
4758-48054-GJ,6720
4953-40982,3924
4882-87652,1114
5098-76548,565
4881-31370,10500
4944-86630,627
4718-32797,5145
4953-37731,11590
4758-88730,3930
4882-42630,6540
5098-81029,3025
5063-64771,491534.17
4953-49193,4905
5023-61228,3213
5030-33128,9800
5023-67744,7956
4941-33854,9100
4718-43799,5000
4968-61669,6048
4864-41399,7848
4874-77548,3139
5023-61320,4529
4947-79991,7420
5098-56636,1143
5023-40841,6250
4947-91233,8480
5023-57661,4692
5098-70806,550
5023-66484,3007
5023-43901,7279
4978-99030,1179
4944-85487,2599
4882-72104,4292
4953-35104,11903
4941-36740,6175
4944-93829,1249
4970-41872,6360
4864-68466,4709
4718-31090,10500
5023-49102,5445
4944-92404,2775
4882-69184,4120
4840-93584-GJ,1386
5098-64603,894
4978-91027,852
4944-96024,812
5023-50533,9194
4944-100086,3313
5023-71573,3024
5051-102069,4960
5023-77302,3752
4736-42740-GJ,8960
4882-36526,5526
4968-84452,761
4953-36502,14879
5023-46633,4980
4953-35137,7554
4944-102386,1129
4742-77060-GJ,1072
5023-62253,2980
4794-97974,1789
4944-85419,2310
4978-47896,3694
4978-82038,1997
4795-29376,10500
4944-84331,1925
5023-53672,4172
4944-93511,3286
5023-56033,2384
4826-35099,11310
4758-28078,8640
4968-91311-IRH,1144
5066-82101,2915
4953-35173,16939
4758-66944-GJ,4704
5023-64643,4508
5098-77541,1100
4978-83822,3510
4937-88934,3990
5098-67208,1224
4840-89580-GJ,2640
4944-101311,3048
5023-62096,2608
5023-47700,8096
4947-61891,46196
4718-30498,10500
4786-29999,6832
4953-36479,11478
4736-77933,2380
4953-38166,7897
5098-63824,1368
5023-55135,8172
4758-31472,10500
4944-93525,1122
5098-63561,1568
4953-33454,5036
4953-33307,9800
4864-41573,4578
4809-29213,4905
5098-66759,840
4704-101010,3041
5023-42640,5940
4704-102006,1768
5048-43625,4410
4704-100892,2080
4864-48849,6180
4864-45613,7848
4987-76754,2688
4944-87502,990
5098-80081,711
5098-62337,1359
4864-100115,5559
4882-98030,5886
5023-58533,5304
4978-97440,1872
4953-39546,4823
4882-48791,18639
4882-46755,9156
4980-43471,15120
4746-33835,6188
4864-59581,6867
4947-37769,48600
4819-47259,5600
4941-31394,4875
5048-43529,6750
4864-62243,8927
5098-71347,1392
4944-86284,3154
5023-62627,3981
4994-41778,8250
5023-54818,4376
4944-77571,418
4953-34008,6958
4944-88596,2054
5023-37336,4025
4864-46103,10137
5023-62510,2040
5023-45317,3964
5023-50960,2453
5023-62281,5229
4758-69144-GJ,5544
4705-45183,8370
4758-97030,4104
4750-76453,74000
4882-72238,3662
4877-33196,9800
4978-93901,3016
4864-47104,10464
5098-79668,2888
4736-59350-GJ,7168
4980-47275-GJ,6600
4743-29428,4875
4953-45315,6213
4704-101986,5406
5081-81580-GJ,1736
4953-33129,4578
4978-84629,538
4947-37253,8480
4978-49656,3213
5023-69160,2297
4941-34860,9100
4758-58741,9408
4726-28743,10301
4864-77388,6540
5098-59591,1148
4953-40927,8175
4992-51435,13244
5098-59254,2295
4758-72968-GJ,7503
4944-96038,967
4947-76337,5616
5023-51694,6528
4941-37784,5000
4937-36913,49680
5075-49661,5765
4978-99540,3924
4864-57704,6802
4864-41617,5886
4941-35300,3754
4758-35873,6097
4944-87047,4693
5023-69475,4455
4953-31782,3276
4978-93823IRH,1966
4944-96207,1484
4864-59989,13963
4944-83842,4290
4944-60768,5200
4736-96003,2291
4882-57035,9418
4947-87259,5850
5098-77575,565
4944-101965,2170
4758-33421,9800
4814-85965,8127
5023-49169,3725
4968-49160,7959
4704-100274,832
4897-36015,3761
5098-68108,636
4943-50403,4446
5091-44337,5300
5023-42393,6210
4786-42075,5500
4814-68820,5824
5023-56406,6528
5023-62822,2588
4736-0103-Financing,0
5023-64210,2429
5023-63206,2429
5023-50200,5445
5023-59701,4284
5023-78345,1758
4944-81294,1375
4941-35934,7475
4992-66053,9614
4953-36359,14028
4758-29848,2508
5023-44932,8415
5023-57988,5916
5098-50814,2988
5023-44933,5100
4704-101556,2002
4953-34634,13249
4704-102541,2244
4953-43525,4578
4944-95861,2385
4953-38620,7897
4718-37670,8384
4743-33027,5250
4704-102486,1166
5023-48685,3235
5056-42549,5490
4994-44226,12750
4797-48743,4905
4980-57750-GJ,10304
5023-58949,4080
4944-89625,1378
5023-52046,8735
5023-46533,11195
5098-64675,1916
4953-36547,7958
4758-101910,3997
5098-54199,2741
5030-35947,7475
4741-34267,4257
4704-100226,1181
5023-44075,3200
4758-28888,10500
4704-102138,8586
4704-100810,1485
4941-35817,9100
5023-58764,5508
4953-49182,13407
4795-28759,10500
4881-33908,9177
4786-44444,6526
5023-46697,6470
4944-79097,2310
5056-43816,5504
4708-32353,9800
5046-63907,4704
4745-85771,3224
5023-40662,4000
5019-51064,4455
4947-76666,6360
4944-89190,634
4944-101488,2377
4826-38963,45900
4809-78954,3434
4944-84348,2372
4953-36204,6377
4944-81775,3135
4732-26887,82215
4944-90191,4694
4944-73089,2888
4943-50135-GJ,5200
4953-38463,11130
4941-38869,3825
5060-42908,3920
5023-63424,4284
4758-35167,17004
4882-72112,5494
4736-60381,2736
5023-51077,5258
5098-58050,2984
4746-31863,9261
4747-29555,6595
5023-69681,5128
4947-38392,48600
4941-31459,10500
4953-36630,8268
4968-78589,884
4864-54541,9418
5030-31797,8625
5098-76565,1411
5098-71264,2016
5023-40207,7750
4944-88266,628
4864-45939,5886
4953-44902,5232
5023-62845,6783
4758-54440-GJ,3864
4718-41459,9750
4746-35221,3797
4944-95580,2544
4944-91001,2915
4708-41525-GJ,8040
4953-38161,20307
5023-47430,5050
4718-35846,9874
4944-80013,1705
5098-59540,1071
5098-53814,1890
4953-38341,13538
4864-92403,4970
4943-82781,1376
5023-50753,6053
4830-43244-GJ,7420
4704-102466,2134
4944-78181,880
4968-63990,1671
5098-62894,1941
5023-53310,3780
4976-83620,5985
4978-96040,1404
4864-56117,5232
4758-42073-GJ,22550
4704-102788,2183
5032-37821,28175
5023-63051,6964
5023-52811,9194
4953-35825,6802
4947-33814,7560
4758-58613-GJ,5376
4704-102157,2862
4978-95552,2184
4743-30321,7875
4736-76782,27180
4758-43459,39000
4884-35767,79252
4953-43526,13734
4944-87487,2530
4944-75324,936
4941-35442,7069
4739-28643,10500
4978-82652,5070
4944-50406,6470
4941-36113,7763
5066-75475,3816
4758-95631,2728
4758-55895-GJ,8894
4864-99166,3216
4953-35630,7759
4882-34190,9156
4708-83769,3644
4947-66439,4368
5023-53279,5870
5098-51792,3984
4947-85763,3375
4745-83982,2015
4736-38423-GJ,7000
5098-52166,2609
4718-34810,10511
4758-43104-GJ,10695
4864-62249,9156
5098-53364,2609
4704-100849,1221
4728-28655,10500
4941-31266,7770
4874-54299,4186
4953-47894,8469
4968-95601,1092
4864-73643,2747
4944-87026,4125
4947-101248,5280
4944-70174,1538
5023-59018,4241
5023-71294,6930
4783-51301,7178
4944-100754,1855
4809-92331,2680
5023-60755,4106
4736-89759,2394
4758-73640,3924
5023-53240,5594
4704-100283,2109
4874-68536,1962
5098-81770,3589
4968-82450,1040
4968-73497,1352
4758-41777,5760
4736-32142,5880
4947-40954,37600
5023-56484,3300
5030-36210,12075
5023-67227,2020
5023-64831,5698
4864-31980,9800
4868-57054,6278
5098-81206,660
5098-67704,765
4758-37328,5886
4848-47944,5500
4720-26990,5520
5098-53129,1585
4736-70546-GJ,1380
4758-52638-GJ,6475
4968-62230,4536
5023-43916,3570
4807-38229,57613
4944-53574,3810
5074-51615,1985
4947-46503-GJ,9900
4881-35041,8970
4758-58165,9408
4944-101762,2253
